ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,parallax_over_error,ra_dec_corr,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,bp_g,g_rp
99.869435,0.100972,-51.544162,0.145359,0.363195,0.228615,0.254829,0.325130,0.044482,0.124167,0.358245,0.016833,1015.418201,18.171753,412.749062,18.812174,865.051971,17.419315,1.392859,0.640421,0.752438
100.757581,0.517317,-51.132636,0.540708,-0.196364,1.311648,1.046562,1.168578,0.239143,0.586719,0.407593,0.020667,167.999246,20.125097,98.260058,20.370445,129.339486,19.482592,0.887854,0.245348,0.642506
100.706505,0.155547,-51.217387,0.140995,0.625364,0.356429,0.409075,0.290637,0.049971,0.146426,0.341274,0.194544,760.749275,18.485262,330.446892,19.053635,636.483703,17.752451,1.301184,0.568373,0.732811
100.572878,0.478175,-51.243844,0.443590,0.155497,1.203287,0.504913,1.066632,-0.367944,0.471965,-0.779600,0.184196,173.602000,20.089479,93.088362,20.429150,122.538097,19.541243,0.887907,0.339670,0.548237
101.073519,0.176093,-51.031035,0.195585,0.326617,0.456239,0.220730,0.491863,-0.135552,0.185698,-0.729960,-0.009537,700.223647,18.575274,308.610613,19.127861,586.829761,17.840639,1.287222,0.552588,0.734634
100.637303,0.594802,-51.182295,0.456145,0.450937,1.385581,-0.072326,0.895900,0.073131,0.519401,0.140799,0.092972,137.095896,20.345804,72.699681,20.697557,91.061578,19.863583,0.833975,0.351753,0.482222
100.978450,0.117786,-50.982449,0.131154,0.422291,0.297287,0.233301,0.283458,0.119705,0.128518,0.931432,0.035125,1014.250170,18.173002,418.837889,18.796274,879.423546,17.401424,1.394850,0.623272,0.771578
100.140930,0.273340,-51.176588,0.228383,0.824620,0.549550,-0.180752,0.473349,1.044772,0.248532,4.203773,0.337300,500.979367,18.938816,162.277527,19.825743,500.895130,18.012552,1.813190,0.886927,0.926264
100.272857,0.163711,-50.891346,0.175182,0.849052,0.380354,0.158342,0.350369,0.191405,0.168525,1.135768,0.212839,593.562411,18.754700,270.117865,19.272505,543.042921,17.924835,1.347670,0.517805,0.829865
100.232615,0.504299,-50.953665,0.550361,0.586331,1.083476,-0.046260,1.051448,0.193546,0.510017,0.379489,0.168809,139.463384,20.327215,77.522926,20.627813,114.360152,19.616234,1.011580,0.300598,0.710981
100.142172,0.284594,-51.081380,0.369439,0.150199,0.685578,0.156826,0.798033,0.167369,0.287161,0.582840,0.203737,375.186666,19.252747,189.804072,19.655624,292.955056,18.594917,1.060707,0.402878,0.657829
100.256644,0.523577,-51.077703,0.503754,0.803929,1.668792,0.489457,1.327120,-0.142216,0.615434,-0.231083,0.262116,172.309873,20.097589,88.815718,20.480164,121.902062,19.546892,0.933271,0.382574,0.550697
100.256644,0.523577,-51.077703,0.503754,0.803929,1.668792,0.489457,1.327120,-0.142216,0.615434,-0.231083,0.262116,172.309873,20.097589,88.815718,20.480164,121.902062,19.546892,0.933271,0.382574,0.550697
100.286675,0.203044,-51.077538,0.242721,0.697502,0.494099,0.672965,0.465021,-0.011436,0.239297,-0.047789,0.099922,552.134569,18.833254,241.070502,19.396029,443.989479,18.143488,1.252541,0.562775,0.689766
100.232978,0.289029,-51.179690,0.230092,0.990267,0.587286,0.184814,0.482861,0.035217,0.246640,0.142787,0.338823,447.101137,19.062351,202.867835,19.583355,350.381660,18.400566,1.182789,0.521004,0.661785
100.272403,0.073697,-51.090474,0.072898,0.481381,0.170395,0.010230,0.140095,-0.119976,0.073806,-1.625566,0.010430,2662.253542,17.125242,974.488616,17.879446,2458.953106,16.285044,1.594402,0.754204,0.840199
100.266814,0.456163,-51.170181,0.380831,0.123258,0.954617,-0.407662,0.775540,0.596314,0.365727,1.630491,0.480460,283.237772,19.557987,121.965733,20.135794,210.763836,18.952429,1.183365,0.577806,0.605558
100.275962,0.137471,-50.888448,0.160356,0.768437,0.312484,-0.235699,0.325493,0.093575,0.153435,0.609867,0.142540,685.278411,18.598698,449.618407,18.719278,403.235621,18.248022,0.471256,0.120581,0.350676
100.299006,0.314247,-51.045182,0.332238,0.512599,0.910962,2.096377,0.828525,-0.359855,0.333009,-1.080616,0.328026,307.054751,19.470325,146.451293,19.937155,238.306162,18.819082,1.118073,0.466829,0.651243
99.653486,0.104978,-51.273207,0.112556,0.625074,0.228861,0.177301,0.247098,-0.033492,0.106408,-0.314747,-0.064421,1456.038289,17.780434,578.206340,18.446180,1252.499606,17.017475,1.428705,0.665747,0.762959
100.295581,0.150024,-51.020600,0.163909,-0.042110,0.336581,-0.111858,0.330487,-0.265846,0.157225,-1.690863,0.171727,733.920052,18.524244,323.131627,19.077940,602.712920,17.811644,1.266296,0.553696,0.712601
100.295581,0.150024,-51.020600,0.163909,-0.042110,0.336581,-0.111858,0.330487,-0.265846,0.157225,-1.690863,0.171727,733.920052,18.524244,323.131627,19.077940,602.712920,17.811644,1.266296,0.553696,0.712601
100.282039,0.479960,-50.881832,0.543667,0.299342,0.984248,0.983531,0.997354,-0.527844,0.511591,-1.031770,0.187162,138.037344,20.338375,65.236834,20.815155,86.419783,19.920387,0.894768,0.476780,0.417988
100.306445,0.144905,-51.088567,0.141717,0.533268,0.330123,-0.274881,0.282875,-0.000539,0.150634,-0.003580,0.151428,898.540698,18.304522,369.472889,18.932432,754.268295,17.568106,1.364326,0.627911,0.736416
99.917893,0.320601,-51.331599,0.470788,0.514613,0.755662,1.165969,1.290876,-0.027725,0.395758,-0.070055,0.046442,372.353228,19.260979,153.491170,19.886179,282.073155,18.636015,1.250164,0.625200,0.624964
100.215253,0.416502,-51.002000,0.535627,-0.281380,0.955202,-0.373608,1.168773,-0.719435,0.507553,-1.417457,0.118915,161.244675,20.169653,88.694701,20.481644,117.684014,19.585127,0.896517,0.311991,0.584526
100.215253,0.416502,-51.002000,0.535627,-0.281380,0.955202,-0.373608,1.168773,-0.719435,0.507553,-1.417457,0.118915,161.244675,20.169653,88.694701,20.481644,117.684014,19.585127,0.896517,0.311991,0.584526
100.205662,0.392809,-51.153352,0.393663,0.055378,0.952166,0.462599,0.897152,0.053832,0.379263,0.141938,0.354176,234.262445,19.764109,117.765350,20.173845,164.793597,19.219568,0.954277,0.409737,0.544540
100.324894,0.538650,-51.059646,0.508603,0.642581,1.484904,1.275279,1.092072,0.273629,0.598069,0.457521,0.224316,142.847725,20.301182,63.299744,20.847883,86.147332,19.923815,0.924068,0.546701,0.377367
100.280128,0.430294,-50.880046,0.540075,0.783889,0.960132,-0.240122,1.091623,-0.241041,0.426569,-0.565069,0.454375,188.589113,19.999575,95.419047,20.402300,135.677712,19.430649,0.971651,0.402725,0.568926
100.252904,0.733133,-50.966771,0.769216,-0.626436,1.773144,1.703458,1.494968,-0.742447,0.846336,-0.877249,0.322357,138.016090,20.338541,87.778868,20.492912,99.993173,19.761993,0.730919,0.154371,0.576548
100.192677,0.535613,-51.151195,0.503025,-0.008917,1.263999,-1.151956,1.083339,-0.164430,0.538623,-0.305279,0.271141,145.602865,20.280441,82.697759,20.557653,110.352058,19.654968,0.902685,0.277212,0.625473
100.192677,0.535613,-51.151195,0.503025,-0.008917,1.263999,-1.151956,1.083339,-0.164430,0.538623,-0.305279,0.271141,145.602865,20.280441,82.697759,20.557653,110.352058,19.654968,0.902685,0.277212,0.625473
100.217418,0.306405,-50.999568,0.429274,0.494740,0.743579,0.609501,0.866710,0.463134,0.339339,1.364814,0.263808,354.072703,19.315634,169.647089,19.777523,272.177803,18.674788,1.102736,0.461889,0.640846
100.217418,0.306405,-50.999568,0.429274,0.494740,0.743579,0.609501,0.866710,0.463134,0.339339,1.364814,0.263808,354.072703,19.315634,169.647089,19.777523,272.177803,18.674788,1.102736,0.461889,0.640846
100.277032,0.266435,-50.998077,0.305168,0.657739,0.683415,0.154085,0.699121,-0.258781,0.302008,-0.856869,0.265887,313.149481,19.448986,157.535613,19.857941,246.040535,18.784403,1.073538,0.408955,0.664583
100.285467,0.206632,-50.913039,0.214439,0.102398,0.481204,0.135969,0.410032,-0.162124,0.205696,-0.788171,0.233082,531.441084,18.874727,342.766209,19.013893,367.852846,18.347734,0.666159,0.139166,0.526993
100.302556,0.173366,-50.995574,0.178182,0.541658,0.387334,0.487820,0.344329,-0.011602,0.174018,-0.066672,0.174292,520.363596,18.897598,229.846005,19.447796,440.824697,18.151255,1.296541,0.550198,0.746344
100.293909,0.417295,-51.100911,0.510648,0.687270,1.058257,-1.106452,1.191665,-0.005996,0.502962,-0.011922,0.319912,225.640541,19.804823,135.219306,20.023792,207.048726,18.971739,1.052053,0.218969,0.833084
100.251511,0.459424,-50.997925,0.524988,0.099477,1.008440,-0.974001,1.030438,-0.127146,0.483218,-0.263123,0.160297,145.451368,20.281570,90.506671,20.459686,97.059861,19.794321,0.665365,0.178116,0.487249
100.308074,0.292690,-50.990670,0.335316,0.782862,0.753174,0.084748,0.724787,-0.377148,0.320539,-1.176606,0.256273,275.878546,19.586571,145.135273,19.946957,227.680035,18.868608,1.078348,0.360386,0.717962
100.204076,0.391081,-51.029857,0.495040,0.426741,0.957310,-0.840082,1.045773,0.482802,0.399056,1.209861,0.340180,231.024651,19.779221,106.582613,20.282173,179.659991,19.125792,1.156382,0.502953,0.653429
100.295632,0.314585,-51.098365,0.328381,0.007595,0.801886,0.080745,0.827041,-0.158119,0.333651,-0.473905,0.261871,350.639313,19.326214,158.242352,19.853081,281.336425,18.638855,1.214226,0.526867,0.687359
100.138563,0.415560,-51.103793,0.473741,-0.737379,0.970300,-2.146729,1.093701,-0.871948,0.455388,-1.914737,0.330790,195.709454,19.959335,93.434436,20.425121,149.276129,19.326944,1.098177,0.465786,0.632391
