ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,parallax_over_error,ra_dec_corr,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,bp_g,g_rp
260.628308,0.286415,57.596155,0.303880,0.229779,0.631247,0.702858,0.658809,-0.440778,0.314530,-1.401384,-0.102935,244.919875,19.715805,118.886794,20.163553,182.844070,19.106718,1.056835,0.447748,0.609087
260.762138,0.124954,57.458133,0.120927,-0.015561,0.288853,-0.254666,0.271421,-0.010130,0.123072,-0.082307,-0.089470,915.070717,18.284729,408.819559,18.822559,736.447651,17.594065,1.228495,0.537830,0.690664
260.755085,0.270051,57.782224,0.314903,-0.127209,0.596718,0.300067,0.695965,-0.320353,0.327897,-0.976994,-0.154028,328.156954,19.398161,167.584855,19.790802,259.158052,18.728008,1.062794,0.392641,0.670153
260.515676,0.067529,57.691281,0.072804,0.132482,0.140171,0.026293,0.153702,0.053270,0.075971,0.701192,0.017809,2197.460923,17.333563,895.510687,17.971210,1874.451974,16.579735,1.391476,0.637648,0.753828
259.764884,0.082375,57.778443,0.082644,-0.011771,0.165365,0.215549,0.177675,-0.159446,0.082872,-1.923999,0.073093,1868.132203,17.509848,757.415753,18.153053,1597.227757,16.753504,1.399549,0.643206,0.756344
260.155126,0.300535,57.790864,0.316295,0.317584,0.627553,-1.127270,0.713220,-0.075437,0.322925,-0.233604,-0.036996,240.560278,19.735306,128.877972,20.075941,179.962183,19.123966,0.951975,0.340635,0.611340
259.410727,0.051556,58.077510,0.065241,-0.076492,0.113304,-0.292528,0.145384,-0.083573,0.061399,-1.361141,0.069285,3331.919170,16.881630,1339.889238,17.533716,2907.838439,16.102995,1.430721,0.652086,0.778635
260.167968,0.128532,57.938361,0.121461,-0.144734,0.266708,0.671635,0.276342,0.142901,0.122802,1.163670,-0.084947,867.406231,18.342810,388.460594,18.878021,700.204552,17.648857,1.229164,0.535212,0.693953
260.008124,0.137822,57.858422,0.146195,0.446440,0.283616,-0.752718,0.288727,0.044974,0.144474,0.311291,0.040409,709.379650,18.561169,312.062188,19.115786,554.648800,17.901875,1.213911,0.554617,0.659294
259.874423,0.144691,57.804628,0.160577,-0.202360,0.308080,-0.156749,0.339588,-0.032511,0.153366,-0.211981,0.055541,759.690458,18.486774,344.308706,19.009018,664.480226,17.705715,1.303303,0.522243,0.781059
259.838289,0.246034,57.758265,0.268370,0.545991,0.509734,-0.006339,0.560911,0.323829,0.250527,1.292595,0.118994,309.144362,19.462963,137.600925,20.004835,227.500320,18.869465,1.135370,0.541872,0.593498
259.894479,0.124926,57.801379,0.137465,0.259340,0.251076,-0.161276,0.291713,-0.123765,0.134363,-0.921123,0.085961,856.971294,18.355949,405.353499,18.831804,655.187164,17.721006,1.110798,0.475855,0.634943
260.186370,0.173270,57.916484,0.175834,-0.249292,0.354350,0.560595,0.398592,0.040990,0.178203,0.230017,-0.039406,494.712240,18.952484,243.453637,19.385347,415.275908,18.216078,1.169270,0.432863,0.736406
259.517379,0.448247,58.102137,0.516447,-0.849056,1.006763,-0.235367,0.934156,-0.411959,0.504363,-0.816790,0.056833,160.546825,20.174362,81.211080,20.577351,121.764917,19.548115,1.029236,0.402988,0.626247
260.212237,0.084928,57.852679,0.086745,0.491078,0.169323,0.195778,0.175584,-0.060499,0.090751,-0.666649,0.014035,1750.224814,17.580631,762.649202,18.145576,1463.900649,16.848141,1.297436,0.564945,0.732491
259.330557,0.506210,57.715987,0.642983,-0.415391,1.047332,-0.452263,1.513667,-0.032886,0.561478,-0.058571,0.177427,156.219172,20.204029,90.498018,20.459791,121.358129,19.551748,0.908043,0.255762,0.652281
260.327552,0.362557,57.795454,0.368055,0.646967,0.780966,-0.781294,0.852150,-0.633335,0.380649,-1.663830,-0.101670,176.197731,20.073364,114.216828,20.207064,124.920719,19.520334,0.686729,0.133699,0.553030
259.115802,0.045965,57.802378,0.054790,-0.077281,0.097379,-0.218580,0.113982,-0.040745,0.053419,-0.762745,0.037246,4056.538059,16.667976,1496.787687,17.413488,3718.297808,15.836060,1.577429,0.745512,0.831917
260.224824,0.281975,57.799779,0.296913,-0.303007,0.581429,-0.448706,0.689323,-0.106951,0.300336,-0.356105,-0.084785,245.655332,19.712551,131.014031,20.058094,190.903736,19.059883,0.998211,0.345543,0.652668
260.022190,0.089668,57.838368,0.083743,-0.269020,0.178860,-0.543604,0.177584,0.087455,0.088938,0.983321,0.021562,1353.600353,17.859640,591.096740,18.422241,1106.882194,17.151667,1.270575,0.562601,0.707973
259.935178,0.315117,57.790935,0.324546,-0.314827,0.652605,-1.055089,0.677882,0.295963,0.320733,0.922769,0.049516,248.756790,19.698929,134.555411,20.029135,190.433254,19.062563,0.966572,0.330206,0.636366
260.127131,0.187195,57.917539,0.193535,-0.140383,0.380458,0.376841,0.452329,-0.026231,0.200237,-0.131001,-0.012951,517.148148,18.904327,260.596602,19.311466,419.937959,18.203957,1.107510,0.407139,0.700371
