ra,dec,Vhel,Vhel_error,mem
260.0714722,57.91272354,-278.3,2.4,1
260.0682983,57.9157753,-296.6,0.7,1
260.0900269,57.90853119,-300.6,4.6,1
260.0655518,57.90766525,-287.2,1.9,1
260.06604,57.91744232,-291.7,1.5,1
260.0817871,57.90061188,-297.3,1.2,1
260.0585632,57.90694046,-310.1,1.4,1
260.1004334,57.92094421,-294.2,0.3,1
260.1026001,57.92078018,-300.1,0.4,1
260.0998535,57.9268074,-295,1.1,1
260.0519104,57.91452408,-296.4,1.2,1
260.0538635,57.90083313,-289.2,0.6,1
260.064209,57.89175415,-292,0.9,1
260.0844116,57.9358902,-293.8,2.1,1
260.1134644,57.91563797,-296.2,1.4,1
260.100647,57.89788818,-293,1.1,1
260.0708923,57.93674851,-294.2,0.3,1
260.1099548,57.90285873,-304.3,1.5,1
260.0707397,57.88675308,-292.4,0.6,1
260.04422,57.89655304,-276.9,1.8,0.989793599
260.0405273,57.91383362,-285.9,1.6,0.999996424
260.1007385,57.94052887,-298.5,0.6,1
260.1135254,57.9366684,-288.1,0.5,1
260.0671997,57.88222504,-296.7,0.4,1
260.0617065,57.94041824,-281.9,0.6,1
260.050354,57.88368988,-292.9,0.9,1
260.0432129,57.8868103,-300.2,0.6,1
260.0332031,57.89794159,-308.9,1.1,1
260.1271362,57.91756058,-309.5,1,0.999814749
260.0310669,57.90908051,-304.9,0.7,1
260.0588684,57.88039017,-303,1.5,0.999962509
260.0631409,57.94302368,-311.6,1.6,1
260.0452271,57.88264084,-280,0.9,1
260.0842285,57.94874954,-296.8,0.5,1
260.0498962,57.94144058,-290.1,0.9,1
260.1141052,57.94789124,-294.5,0.6,1
260.0309143,57.88669205,-296.2,1.1,1
260.1200867,57.89252472,-280.9,0.7,1
260.1184692,57.94685745,-311.7,1,1
260.1253357,57.89636231,-286.3,1.9,1
260.0267334,57.92619705,-316.7,1.5,1
260.0297546,57.88264084,-282.4,1.2,1
260.0280151,57.93102646,-295,1.5,1
260.0236206,57.88436127,-292.6,0.5,1
260.045929,57.94602585,-294.7,1.7,0.999999821
260.0287781,57.87697601,-288.5,0.5,1
260.0563354,57.86644745,-292.9,0.5,1
260.1134338,57.95944595,-298.2,1.3,1
260.0239258,57.93597412,-296,4.7,0.999966025
260.0082397,57.90619278,-278.7,1.4,1
260.1481934,57.93552399,-287.1,1.2,1
260.026001,57.93836212,-281.7,2.3,0.999999881
260.1513062,57.92750168,-293.5,1.3,0.999998987
