ra,dec,Vhel,Vhel_error,mem
152.113125,12.30847222,283.3,1.6,1
152.1124583,12.31016667,294.9,1.9,1
152.1108333,12.31111111,274.1,1.8,1
152.1185,12.31361111,281.4,1.8,1
152.1218333,12.30886111,287.4,2,1
152.11625,12.29919444,264.8,1.9,1
152.1160417,12.29875,287.8,2,1
152.1197917,12.29863889,288.4,2,1
152.100875,12.31469444,280.8,1.8,1
152.116375,12.322,291.6,1.7,1
152.10175,12.29833333,292.9,1.8,1
152.0969167,12.31055556,295.9,2.8,1
152.1152083,12.29230556,293.9,2,1
152.1135417,12.29208333,285.2,1.8,1
152.1295,12.30994444,271.8,1.9,1
152.095625,12.31105556,283.6,2.1,1
152.097,12.31652778,263.1,2,1
152.0959583,12.30155556,278.9,2.1,1
152.1112917,12.32625,278.5,2,1
152.0956667,12.30058333,297.6,1.9,1
152.1021667,12.32411111,278.6,2,1
152.1259167,12.32186111,285.4,1.8,1
152.1165417,12.28936111,281.2,1.9,1
152.099375,12.29380556,286.4,1.8,1
152.1315417,12.31511111,285.2,2.3,1
152.1092917,12.28755556,277.2,1.8,1
152.1295417,12.32125,303.6,1.6,1
152.09375,12.31986111,283.9,2,1
152.108,12.33075,284,1.8,1
152.135875,12.30166667,277.9,1.8,1
152.1357083,12.30013889,289.3,2.4,1
152.1153333,12.33255556,277,1.7,1
152.0990417,12.28775,279.5,1.7,1
152.1270833,12.32852778,271,2,1
152.0930833,12.29158333,275.7,1.7,1
152.099625,12.28575,281.6,2.1,1
152.1384583,12.30275,292.7,2,1
152.0918333,12.32705556,275.2,2.2,1
152.084125,12.31283333,277.7,1.9,1
152.10475,12.33538889,300.3,6.5,1
152.1147917,12.27963889,277.9,1.8,1
152.1289583,12.33288889,275.5,2,1
152.0852083,12.29594444,273.3,1.8,1
152.1147917,12.33911111,286.8,2,1
152.1159167,12.27711111,287.8,1.8,1
152.0880417,12.32869444,289.6,1.8,1
152.0830417,12.29497222,280.9,2.1,1
152.0835417,12.32341667,299.3,2.3,1
152.1383333,12.28847222,291.5,2.9,1
152.1059583,12.27677778,288,2,1
152.0810833,12.31933333,284.7,1.8,1
152.11875,12.34111111,289.1,1.8,1
152.1305833,12.33669444,282.7,1.9,1
152.14625,12.30038889,289.2,2,1
152.0932083,12.33708333,281.1,2,1
152.12625,12.34033333,293.3,1.8,1
152.119625,12.27375,291.8,2.1,1
152.0767083,12.31402778,269.1,1.7,1
152.0783333,12.29416667,284,1.9,1
152.110375,12.27211111,296.1,1.8,1
152.1499583,12.30902778,267.6,2.1,1
152.0919167,12.33913889,308.3,2.6,1
152.1272917,12.27427778,301.4,1.9,1
152.1254583,12.34344444,289,2,1
152.1022083,12.34447222,297.6,2.7,1
152.1455417,12.3275,286.8,2,1
152.081625,12.28486111,288.5,1.7,1
152.0810833,12.28538889,284.2,1.8,1
152.1215833,12.27002778,282,1.9,1
152.08425,12.27983333,284.4,1.9,1
152.0821667,12.28197222,299.5,2,1
152.0742917,12.29452778,296.5,1.7,1
152.078375,12.33077778,275.6,1.8,1
152.0715,12.31247222,283.4,1.8,1
152.1062917,12.26838889,273.7,1.8,1
152.0714167,12.31444444,281.7,2.9,1
152.071125,12.30413889,286.9,1.8,1
152.0709167,12.30686111,277.6,1.6,1
152.0772917,12.33052778,287.2,1.9,1
152.1079583,12.34936111,269.8,1.9,1
152.094,12.34597222,285.2,1.7,1
152.1534583,12.29508333,281.6,1.9,1
152.0889167,12.273,278.9,2,1
152.1250833,12.26777778,292.5,2.8,1
152.0913333,12.27055556,293.9,1.8,1
152.118375,12.265,276.4,1.8,1
152.0831667,12.27533333,283.9,2.1,1
152.1547917,12.32344444,280.7,1.9,1
152.083,12.27413889,273.9,1.6,1
152.1396667,12.34583333,295.6,2.5,1
152.1155833,12.35477778,293.3,2,1
152.0731667,12.2815,281.9,1.8,1
152.1166667,12.35530556,291.9,1.9,1
152.1612083,12.30144444,289.1,2.1,1
152.15375,12.33652778,295,1.8,1
152.0639167,12.29405556,271.2,1.9,1
152.1630833,12.30113889,278,1.8,1
152.0797917,12.34686111,270.7,1.7,1
152.0617917,12.30036111,289.5,2,1
152.069125,12.33530556,282.4,1.6,1
152.08525,12.35108333,271,4.9,1
152.1300833,12.35622222,291.6,2.1,1
152.0605417,12.30066667,292.6,2.1,1
152.1632917,12.32169444,273.5,1.9,1
152.1025,12.35961111,285.4,2,1
152.14375,12.26547222,300.8,2.1,1
152.1669167,12.31305556,284.9,1.9,1
152.1457917,12.35091667,296.2,3.9,1
152.073125,12.27102778,279.6,1.8,1
152.0959583,12.25688889,275.8,1.9,1
152.1540417,12.34416667,272.4,2.1,1
152.14025,12.26136111,286.9,2,1
152.06625,12.27816667,282.4,1.7,1
152.0589167,12.29344444,302.8,1.9,1
152.165125,12.28883333,273.3,2,1
152.0752083,12.34972222,277.7,2,1
152.1629167,12.33419444,282.6,1.9,1
152.11225,12.36436111,275.6,2.4,1
152.1515417,12.26725,272.1,1.9,1
152.0925417,12.36094444,280.9,2,1
152.055375,12.31452778,285.5,2.5,1
152.063125,12.33794444,269.4,1.9,1
152.0660417,12.34236111,277.5,3.6,1
152.1434167,12.35638889,270.5,2,1
152.07325,12.35033333,268.9,2,1
152.0544583,12.31302778,287.9,1.8,1
152.1705417,12.30177778,288.6,3.2,1
152.1290833,12.364,288.5,1.9,1
152.131125,12.36363889,267.5,2.1,1
152.1539583,12.26597222,293.5,1.8,1
152.1139167,12.24869444,273,1.8,1
152.0869167,12.36266667,287.1,2.1,1
