ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,parallax_over_error,ra_dec_corr,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,bp_g,g_rp
15.081704,0.167466,-34.042408,0.083894,-0.618467,0.289205,-0.007211,0.282670,-0.134170,0.241796,-0.554892,0.075742,639.346120,18.674026,283.582819,19.219688,502.869789,18.008282,1.211407,0.545662,0.665745
14.316859,0.238613,-34.010547,0.203827,-0.594935,0.433650,0.262012,0.396909,-0.092590,0.334381,-0.276901,-0.006557,433.074819,19.096958,206.405252,19.564587,340.518275,18.431568,1.133018,0.467628,0.665390
15.088604,0.305174,-33.915763,0.147415,0.672390,0.636052,0.410900,0.503353,-0.457741,0.455722,-1.004431,0.078723,271.362359,19.604492,118.307842,20.168854,212.799671,18.941992,1.226862,0.564362,0.662500
15.073208,0.329095,-33.920399,0.165405,-0.308744,0.681089,-0.471575,0.571266,0.163474,0.499872,0.327032,0.057241,246.709381,19.707901,122.705805,20.129225,173.429908,19.164110,0.965115,0.421324,0.543791
14.383813,0.190069,-33.950345,0.140435,0.140717,0.353905,-0.330187,0.287005,0.472506,0.246177,1.919377,-0.040691,668.597439,18.625454,306.476561,19.135395,539.722427,17.931494,1.203901,0.509941,0.693960
14.874993,0.169424,-34.003054,0.091113,0.639496,0.301897,-0.145626,0.287280,-0.122757,0.226835,-0.541171,-0.025616,602.199266,18.739016,279.004728,19.237360,477.918908,18.063534,1.173826,0.498344,0.675482
14.419600,0.251790,-33.985839,0.168719,0.709454,0.448952,0.069751,0.372388,0.889769,0.371558,2.394696,0.039525,427.140104,19.111940,186.655892,19.673784,344.839439,18.417877,1.255907,0.561844,0.694063
14.464193,0.187531,-33.921915,0.127570,0.274762,0.326951,0.119362,0.282655,0.185399,0.252012,0.735675,0.019108,625.376981,18.698011,280.176367,19.232809,501.023916,18.012274,1.220535,0.534798,0.685738
15.021157,0.284995,-33.999817,0.140374,0.329175,0.510870,-0.110171,0.465588,-0.085738,0.436180,-0.196565,0.088718,312.059235,19.452774,148.685026,19.920719,234.475193,18.836678,1.084042,0.467945,0.616096
15.324747,0.129656,-34.083631,0.069857,-0.171752,0.233462,-0.232678,0.253254,0.054788,0.197084,0.277994,0.055286,854.681153,18.358856,390.941004,18.871111,688.211118,17.667616,1.203495,0.512255,0.691240
15.020929,0.111122,-34.021278,0.058225,0.246475,0.201137,-0.218831,0.187284,0.263809,0.159110,1.658027,0.031571,1199.881185,17.990520,550.658228,18.499184,971.271243,17.293570,1.205614,0.508663,0.696951
15.054510,0.117862,-33.954324,0.052481,-0.175311,0.195931,-0.220966,0.169403,-0.193382,0.155139,-1.246510,0.038139,1428.708397,17.801006,638.815557,18.337950,1155.579004,17.104921,1.233028,0.536943,0.696085
15.260906,0.238747,-34.065944,0.123832,0.009982,0.445021,-0.173368,0.456038,0.266372,0.380986,0.699165,0.076590,360.306659,19.296684,178.507139,19.722250,273.529244,18.669411,1.052839,0.425566,0.627274
14.433993,0.116376,-34.020646,0.076876,-0.094136,0.211472,-0.119896,0.171762,0.103327,0.166860,0.619245,0.031412,1353.342585,17.859846,575.178789,18.451881,1095.553949,17.162836,1.289045,0.592035,0.697010
15.151991,0.160440,-34.062779,0.076236,0.145096,0.257177,-0.480134,0.268415,0.339741,0.235557,1.442285,0.052896,728.127402,18.532846,323.806349,19.075674,581.980326,17.849649,1.226025,0.542828,0.683197
15.087965,0.074196,-33.941098,0.037643,0.150977,0.139370,-0.048805,0.123130,-0.003079,0.101599,-0.030301,0.024470,2165.603401,17.349419,911.041200,17.952543,1871.768091,16.581289,1.371254,0.603125,0.768129
15.121783,0.071304,-33.928957,0.035883,0.137624,0.139948,-0.034059,0.116436,-0.045022,0.096314,-0.467447,0.028090,2346.272806,17.262419,924.169996,17.937008,2046.394243,16.484447,1.452560,0.674589,0.777971
15.079098,0.232593,-33.949804,0.113085,0.703891,0.509603,-0.910509,0.404026,0.658529,0.357762,1.840690,0.078309,397.481563,19.190073,198.632760,19.606260,309.884082,18.533922,1.072338,0.416187,0.656151
15.146559,0.101589,-33.958586,0.049949,0.446472,0.184963,-0.004606,0.167152,0.128713,0.142231,0.904955,0.032283,1255.843588,17.941027,569.241055,18.463148,1014.975999,17.245781,1.217367,0.522121,0.695246
15.185823,0.093897,-34.009492,0.039100,-0.016838,0.158433,-0.297860,0.130202,0.028100,0.119826,0.234508,0.046900,1878.785999,17.503672,780.109435,18.121000,1588.286010,16.759598,1.361403,0.617329,0.744074
15.173995,0.083501,-33.983636,0.041458,0.011662,0.150019,-0.069147,0.137128,-0.209639,0.116935,-1.792786,0.055502,1696.181592,17.614685,699.554420,18.239334,1435.542753,16.869379,1.369955,0.624649,0.745306
14.297457,0.179178,-34.003146,0.144374,-0.250237,0.325608,-0.590155,0.279994,-0.078275,0.242396,-0.322921,-0.013259,650.910035,18.654564,299.787546,19.159353,517.354770,17.977449,1.181904,0.504789,0.677114
15.031951,0.150953,-34.027559,0.077847,0.087307,0.255624,-0.404348,0.268871,-0.045599,0.219179,-0.208047,0.013152,777.857949,18.461115,360.320817,18.959665,620.482272,17.780096,1.179569,0.498550,0.681019
14.810674,0.077629,-33.677762,0.039599,0.383603,0.135516,-0.095661,0.118454,-0.005535,0.098480,-0.056205,0.081107,2955.728225,17.011705,1078.602749,17.769234,2717.575864,16.176466,1.592768,0.757528,0.835239
14.521771,0.203498,-33.922566,0.134649,0.191960,0.350776,-0.444390,0.312944,0.270931,0.252420,1.073336,0.055584,521.591097,18.895041,233.059506,19.432720,404.554149,18.244478,1.188242,0.537680,0.650562
14.868249,0.235179,-33.712075,0.132093,0.673696,0.513699,-0.012125,0.392637,-0.016761,0.305358,-0.054888,0.105882,400.013777,19.183178,197.123792,19.614540,306.509873,18.545809,1.068731,0.431362,0.637369
14.825403,0.480976,-33.627536,0.288955,0.468080,0.844944,-0.328678,0.834317,0.943162,0.676126,1.394949,0.113606,145.456044,20.281536,99.472429,20.357132,65.709301,20.217854,0.139278,0.075596,0.063683
