ra,dec,Vhel,Vhel_error,mem
153.535,-1.596972222,226.1,1.7,0.998
153.4801667,-1.555694444,223.9,1.4,0.997
153.4735833,-1.590222222,225.4,0.6,0.999
153.534375,-1.506222222,206.2,1.1,0.964
153.46175,-1.753416667,240.3,1.2,0.982
153.45525,-1.680777778,223,0.8,0.998
153.4045,-1.541388889,222.6,3.8,0.998
153.41775,-1.561055556,233.3,0.6,0.997
153.4227083,-1.594166667,232.1,1.7,0.999
153.4374583,-1.608583333,212.7,1.1,0.998
153.426125,-1.523527778,220.6,0.6,0.999
153.411125,-1.679416667,221.5,0.8,1
153.3902083,-1.590888889,223,0.9,0.999
153.4329167,-1.646638889,223.7,1.5,0.997
153.293875,-1.520944444,228.6,0.5,0.995
153.25275,-1.509888889,215.2,1.6,0.996
153.2747083,-1.46675,223.9,0.5,0.999
153.3214583,-1.443916667,241.4,0.5,0.994
153.2465833,-1.5785,217.2,1.3,1
153.2555833,-1.578583333,224.1,0.5,1
153.251375,-1.529916667,227.7,1.1,1
153.2451667,-1.473833333,227.3,0.8,0.999
153.247875,-1.467611111,217.9,1.6,0.999
153.2183333,-1.585361111,220.7,2.2,1
153.2222083,-1.577944444,229.9,1.1,1
153.1940417,-1.396555556,212.5,0.5,0.998
153.1935,-1.408861111,221,2.1,0.998
153.1900833,-1.596138889,231.5,1.3,0.999
153.1950417,-1.532805556,223.4,0.7,0.999
153.1999583,-1.494083333,222.8,1.9,0.999
153.1704583,-1.533666667,215.4,0.9,0.999
153.1784583,-1.502305556,212.8,3.1,0.992
153.146125,-1.396472222,241.1,4.3,0.957
153.1387083,-1.539666667,244.4,2.3,0.987
153.1411667,-1.533055556,228.1,2.2,0.999
153.12475,-1.5755,204.2,4.2,0.987
153.1080417,-1.544111111,230.2,1.5,0.999
153.0660833,-1.456972222,230.6,1.3,0.997
153.105125,-1.373833333,220.2,0.6,0.999
153.3263333,-1.492111111,224.5,0.4,0.998
153.0619583,-1.508888889,226.3,4.6,0.999
153.3755833,-1.672222222,231.4,2,0.998
