ra,dec,Vhel,Vhel_error,mem
100.57475,-50.89955556,219,2,1
100.5775,-50.90766667,235.5,0.6,1
100.6164583,-50.89372222,218,3.4,0.964
100.604875,-50.9005,216.2,5,0.997
100.5899583,-51.00594444,225.4,3.1,1
100.6064583,-50.99327778,232.1,1.9,1
100.60075,-50.93683333,223.1,0.8,1
100.6149583,-50.93166667,217,2.3,1
100.54925,-50.95363889,229.5,4,1
100.5667083,-50.94855556,219.3,1.7,1
100.558375,-50.94952778,232.6,2.5,1
100.5615417,-50.93930556,220.5,2.2,0.999
100.626375,-50.85041667,233.2,2.4,1
100.6400833,-50.85016667,222.4,4.8,0.999
100.628625,-50.86247222,223.7,1.7,1
100.6497083,-50.87411111,229.1,3.1,0.999
100.6376667,-50.89183333,212.1,1.6,1
100.6650833,-50.88508333,233.5,2.6,1
100.6705833,-50.90419444,214.8,4.2,0.998
100.697875,-50.91780556,214.8,1.7,1
100.7046667,-50.93575,224.5,2.6,1
100.7005,-50.97886111,220.5,0.9,1
100.7290417,-50.93619444,218.6,0.8,1
100.6359583,-50.95183333,222.3,2.5,1
100.6462083,-50.92547222,222.7,1.6,1
100.6986667,-50.88416667,221.4,4.8,1
100.7119167,-50.90741667,224.6,4.4,0.997
100.76075,-50.8365,209.1,5.5,0.965
100.7657917,-50.86069444,229.3,3.2,1
100.7320833,-51.04794444,226.9,1.1,1
100.7449583,-51.00175,220.2,1.3,1
100.7633333,-50.97138889,223.9,0.8,1
100.7023333,-51.01172222,226.3,4.9,0.999
100.7178333,-50.99288889,226.5,1.3,1
100.7147917,-50.98019444,229.5,3.8,1
100.8062083,-50.82036111,228.4,2.1,0.998
100.794125,-50.82969444,229.2,3.4,1
100.798875,-50.91786111,223.6,0.8,1
100.8605,-50.83005556,205.6,1.4,0.995
100.8370833,-50.86377778,220.1,1.5,1
100.818375,-50.92663889,222.2,2.2,0.999
100.574125,-50.94877778,221.8,1.7,1
100.5856667,-50.93319444,214.5,7.9,1
100.572625,-50.932,221.2,1.1,0.999
100.6582917,-50.89386111,233.3,7.2,0.998
100.6605417,-50.93352778,223.4,3.5,1
100.6265833,-50.94252778,229.5,1.9,1
100.2175,-50.91769444,231.8,3.7,0.998
100.2221667,-50.92155556,214.4,2,1
100.220125,-50.92833333,228,0.9,1
100.2156667,-50.93711111,211.2,0.6,0.987
100.202625,-50.93802778,221.6,1.3,0.998
100.25075,-50.90269444,220.9,1.7,0.999
100.2515,-50.91866667,218.8,1.1,1
100.2612917,-50.92355556,219.8,2.9,1
100.2591667,-50.93436111,229.4,1.8,1
100.2705833,-50.93941667,224.6,4.8,0.998
100.2394167,-50.99272222,228.8,3.9,1
100.2492917,-50.98241667,213.2,4.7,1
100.2577083,-50.97686111,242.7,3,1
100.2661667,-50.96141667,228.5,0.7,1
100.2649583,-50.95136111,239.6,0.6,0.994
100.2122083,-50.9805,225.4,2.2,1
100.2235833,-50.97805556,223.7,1.6,1
100.2363333,-50.95536111,210.8,1.5,1
100.211375,-50.94641667,222.8,1.9,1
100.2304583,-50.93580556,230.1,2.6,1
100.3533333,-50.93177778,230.2,2.6,1
100.3259167,-50.94475,225.6,4.2,1
100.344375,-50.947,220.5,1.4,1
100.3703333,-50.83061111,217.8,4.1,1
100.37325,-50.85308333,229.7,2.7,1
100.3750417,-50.8755,220.8,4.9,1
100.3689167,-50.88355556,216.1,4,1
100.3712083,-50.93541667,219.8,1.6,1
100.299,-51.04519444,218.5,0.9,0.999
100.2884583,-51.01827778,229.7,4.1,1
100.2957917,-50.99961111,219.2,3.4,1
100.3263333,-50.96883333,221.9,1,1
100.2787917,-51.04425,227.6,1.2,1
100.286,-51.03741667,211.2,3,1
100.2717917,-51.00761111,211.6,1.5,1
100.2770417,-50.99808333,221.6,0.8,1
100.4416667,-50.85013889,223.2,0.9,1
100.4391667,-50.86683333,217.1,2.3,1
100.42125,-50.91711111,208.4,1.4,1
100.4020417,-50.93977778,218.9,0.5,1
100.3932917,-50.94113889,225.7,4.1,1
100.4649583,-50.86497222,230.9,4.5,0.994
