ra,dec,Vhel,Vhel_error,mem
15.192375,-33.65544444,112.6,1.2,0.998
15.18933333,-33.66663889,110.2,0.9,1
15.18525,-33.69836111,116.4,1.9,1
15.19566667,-33.72219444,103.8,0.7,1
15.17683333,-33.72388889,117.7,0.9,1
15.187,-33.73269444,93.4,2.2,0.999
15.17529167,-33.73408333,118.6,2,0.991
15.21254167,-33.63902778,103.6,1.4,0.984
15.21245833,-33.66733333,95.7,0.8,0.999
15.20616667,-33.67716667,101.6,1.6,1
15.213125,-33.78813889,114.9,1.1,1
15.21645833,-33.77333333,111.3,0.4,1
15.24354167,-33.77052778,118.8,1.3,1
15.24945833,-33.75616667,104,2.8,1
15.262375,-33.75377778,105,2.6,1
15.27458333,-33.7375,122.6,1.7,1
15.288625,-33.72680556,109.5,1.1,1
15.186875,-33.75891667,112.2,1.9,1
15.19208333,-33.74525,124,1,1
15.24966667,-33.74836111,119.5,1.7,1
15.2075,-33.73833333,115.6,2.1,1
15.229625,-33.73755556,133.5,0.8,1
15.23379167,-33.73352778,111.2,3.5,1
15.270375,-33.72777778,125.1,4.1,1
15.23575,-33.67686111,100.3,1.6,1
15.23029167,-33.67852778,106.2,1.2,1
15.2205,-33.67897222,117.5,2,1
15.23158333,-33.68397222,104.5,1.3,1
15.23441667,-33.69219444,114.2,1.2,1
15.26475,-33.64680556,113.5,1.9,1
15.261,-33.65011111,110.1,0.8,1
15.25183333,-33.665,91.6,0.7,0.999
15.273,-33.69952778,109.1,1.3,1
15.267125,-33.70197222,103.5,2.9,1
15.25645833,-33.70197222,121,1.9,1
15.25683333,-33.72375,106.6,2.2,1
15.25595833,-33.82236111,127,0.7,1
15.26854167,-33.81352778,111.2,1.7,1
15.26479167,-33.805,109.6,3.3,0.998
15.26358333,-33.79977778,113.4,3.1,1
15.26733333,-33.78219444,106.4,1,1
15.30904167,-33.73308333,103.2,0.7,1
15.26075,-33.77388889,112.4,1.1,1
15.27325,-33.75363889,103,3.7,1
15.280875,-33.74902778,108.9,1,1
15.29808333,-33.73611111,124.2,0.7,1
15.30495833,-33.72238889,110.7,0.6,1
15.28208333,-33.60813889,105.7,1.2,1
15.28075,-33.63263889,105.7,3,1
15.30495833,-33.64291667,123.5,1.3,1
15.31325,-33.65997222,109.1,0.5,1
