ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,parallax_over_error,ra_dec_corr,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,bp_g,g_rp
152.122504,1.766943,12.270247,1.297997,-0.877233,2.146798,0.399431,2.563352,2.566056,2.347269,1.093209,-0.275616,113.620175,20.549726,160.282227,19.839174,79.977715,20.004498,-0.165323,-0.710552,0.545229
152.122504,1.766943,12.270247,1.297997,-0.877233,2.146798,0.399431,2.563352,2.566056,2.347269,1.093209,-0.275616,113.620175,20.549726,160.282227,19.839174,79.977715,20.004498,-0.165323,-0.710552,0.545229
152.122504,1.766943,12.270247,1.297997,-0.877233,2.146798,0.399431,2.563352,2.566056,2.347269,1.093209,-0.275616,113.620175,20.549726,160.282227,19.839174,79.977715,20.004498,-0.165323,-0.710552,0.545229
152.120344,0.910482,12.339357,0.796945,0.554883,1.071370,0.065763,1.211947,-1.095306,0.976976,-1.121119,-0.705743,306.101005,19.473703,158.101970,19.854046,324.494253,18.483902,1.370144,0.380342,0.989801
152.106611,1.915959,12.264873,1.333868,0.265828,2.462193,-0.617523,2.739252,-0.602832,2.663420,-0.226338,-0.309954,97.810895,20.712399,94.796399,20.409409,114.023895,19.619431,0.789978,-0.302990,1.092968
152.115281,0.776449,12.332564,0.686271,-0.849176,0.929790,0.223223,1.049858,-1.680380,0.832802,-2.017742,-0.703542,363.517125,19.287054,191.724798,19.644693,375.606526,18.325087,1.319607,0.357639,0.961967
152.084124,0.525300,12.312824,0.379650,0.273662,0.736114,-0.010909,0.753027,-0.620461,0.709757,-0.874188,-0.314801,398.286080,19.187878,247.382304,19.367966,442.643372,18.146786,1.221180,0.180088,1.041092
152.164174,0.862874,12.334860,0.776846,0.217296,1.038750,-0.420873,1.182908,0.299874,0.918173,0.326599,-0.708629,321.097502,19.421774,175.661275,19.739698,300.812191,18.566181,1.173517,0.317924,0.855593
152.126290,1.027030,12.340284,0.899015,-0.582447,1.228132,2.193706,1.389074,1.191315,1.106595,1.076559,-0.700428,282.117059,19.562292,176.153808,19.736658,280.809360,18.640890,1.095768,0.174366,0.921402
152.126290,1.027030,12.340284,0.899015,-0.582447,1.228132,2.193706,1.389074,1.191315,1.106595,1.076559,-0.700428,282.117059,19.562292,176.153808,19.736658,280.809360,18.640890,1.095768,0.174366,0.921402
152.109390,0.510986,12.287420,0.369836,-0.317036,0.723122,-0.411805,0.734409,0.418667,0.695459,0.602002,-0.308372,419.124087,19.132509,352.644135,18.983046,581.755203,17.850069,1.132977,-0.149464,1.282440
152.090016,0.626715,12.214195,0.455742,0.118530,0.836430,0.643152,0.909803,-1.390036,0.860858,-1.614710,-0.314285,330.689640,19.389814,169.308677,19.779690,320.270203,18.498129,1.281561,0.389875,0.891685
152.113069,0.946332,12.335056,0.818171,0.223551,1.109286,-0.239088,1.236330,1.472883,1.021554,1.441807,-0.701707,301.341564,19.490719,166.213542,19.799723,309.771729,18.534315,1.265408,0.309004,0.956404
152.095579,1.028803,12.311041,0.432285,0.647957,0.957590,0.660940,1.054769,-0.199262,1.407241,-0.141598,-0.291171,398.675320,19.186817,240.767196,19.397394,431.109646,18.175451,1.221943,0.210577,1.011366
152.095579,1.028803,12.311041,0.432285,0.647957,0.957590,0.660940,1.054769,-0.199262,1.407241,-0.141598,-0.291171,398.675320,19.186817,240.767196,19.397394,431.109646,18.175451,1.221943,0.210577,1.011366
152.114889,1.200640,12.331820,1.033354,0.537925,1.564957,-1.531252,1.572549,0.016277,1.320831,0.012323,-0.672350,245.561749,19.712963,175.416647,19.741211,287.589064,18.614988,1.126223,0.028248,1.097975
152.028507,1.611751,12.255508,1.314016,0.402049,2.350897,1.242965,2.827327,-0.913190,2.401503,-0.380258,-0.153933,121.545037,20.476522,89.335222,20.473831,133.544538,19.447855,1.025976,-0.002691,1.028667
152.028507,1.611751,12.255508,1.314016,0.402049,2.350897,1.242965,2.827327,-0.913190,2.401503,-0.380258,-0.153933,121.545037,20.476522,89.335222,20.473831,133.544538,19.447855,1.025976,-0.002691,1.028667
152.135137,2.312265,12.367423,1.948577,-0.107524,2.603558,-2.392794,2.942515,3.124958,2.495047,1.252464,-0.715820,117.058579,20.517357,68.719471,20.758688,134.892016,19.436954,1.321733,0.241331,1.080402
152.158588,1.242960,12.352614,1.098094,0.323014,1.479013,-1.833874,1.657177,-1.679174,1.331784,-1.260845,-0.705491,208.064482,19.892870,119.100711,20.161602,210.777621,18.952358,1.209244,0.268732,0.940512
152.192007,0.641867,12.375927,0.466469,-0.082852,0.692339,0.756799,0.654858,-1.426053,0.732150,-1.947762,-0.664149,417.446004,19.136866,165.716308,19.802975,441.427720,18.149771,1.653204,0.666109,0.987095
