ra,dec,Vhel,Vhel_error,mem
227.2831726,67.23161316,-246.9,1.27,1
227.2508392,67.22763824,-241.1,1.46,1
227.334198,67.19847107,-234.6,2.35,1
227.2332916,67.21294403,-252.5,0.88,1
227.2934113,67.24219513,-246.5,1.13,1
227.3739166,67.21627808,-247.9,0.64,1
227.2173309,67.21302795,-244.3,0.54,1
227.2726288,67.24819946,-244.2,1.08,1
227.2919617,67.17819214,-236.1,1.26,1
227.2899933,67.17780304,-238.8,1.74,1
227.3307953,67.17608643,-246.9,0.86,1
227.2415771,67.17785645,-245.3,0.82,1
227.2150116,67.24797058,-242.8,0.93,1
227.1760559,67.2203598,-243.5,0.54,1
227.2310028,67.25458527,-256.8,0.37,1
227.3158417,67.26205444,-238.2,1.38,0.998
227.1548004,67.21763611,-240.9,1.93,1
227.3068237,67.26988983,-252.9,0.73,0.999
227.2093353,67.16950226,-253,0.59,1
227.2734222,67.27085876,-268,0.79,0.999
227.3270264,67.15438843,-259.2,2,1
227.2434692,67.15574646,-243.3,1.29,1
227.1392365,67.233284,-236.8,1.87,1
227.3935547,67.26585388,-251.3,1.69,1
227.4649658,67.20491028,-248.2,0.55,1
227.2388306,67.15055084,-253.2,0.87,1
227.3429565,67.14824677,-240,1.36,0.995
227.3892059,67.1554718,-258.7,2.5,1
227.1423645,67.17866516,-247.4,2.33,1
227.4753265,67.20488739,-239.9,1.38,1
227.1432343,67.17622375,-249.8,0.51,1
227.2767181,67.28541565,-245.8,0.6,1
227.4759979,67.20094299,-249.4,0.54,1
227.4538422,67.25241852,-236.2,0.92,1
227.125351,67.2508316,-245.2,1.41,0.998
227.3691254,67.28488922,-240.7,0.55,1
227.3440857,67.29135895,-254.4,1.71,1
227.1949158,67.28455353,-254.9,0.85,1
227.3117981,67.29589081,-248.1,0.56,1
227.4383698,67.27553558,-244.3,0.95,1
227.104126,67.25086212,-236.1,2.12,1
227.4360046,67.15291595,-251.9,0.77,1
227.5068359,67.2026062,-243.4,1.56,0.995
