ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,parallax_over_error,ra_dec_corr,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,bp_g,g_rp
100.706505,0.114487,-51.217387,0.101209,0.812146,0.156256,0.088975,0.133945,0.015383,0.110111,0.139706,0.120487,772.135572,18.468132,321.077209,19.072018,643.732637,17.726131,1.345886,0.603886,0.742001
100.572878,0.357838,-51.243844,0.334789,0.554367,0.489542,0.001185,0.417621,-0.566893,0.361841,-1.566692,0.004435,180.443926,20.046511,86.754624,20.492811,132.069599,19.445889,1.046923,0.446301,0.600622
100.585818,0.715928,-51.210176,0.705099,-0.963694,1.139397,-0.253581,0.936128,-0.217132,0.726953,-0.298687,-0.331478,116.633072,20.520313,nan,nan,nan,nan,nan,nan,nan
100.781549,0.313265,-51.137245,0.264145,0.805726,0.440573,0.607165,0.326919,-0.074379,0.289713,-0.256735,-0.033501,242.448982,19.725817,111.191145,20.223366,180.311100,19.107840,1.115526,0.497549,0.617977
100.757581,0.366080,-51.132636,0.343552,0.071529,0.516984,0.678052,0.426191,0.067244,0.367373,0.183039,-0.061672,175.055865,20.079426,80.249738,20.577433,126.999373,19.488392,1.089041,0.498007,0.591034
100.637303,0.431737,-51.182295,0.382618,-0.098480,0.616631,0.272711,0.517946,-0.237994,0.412914,-0.576377,-0.027309,145.170752,20.282669,65.771403,20.793449,111.801927,19.626772,1.166677,0.510780,0.655897
100.654364,0.564876,-51.134677,0.458809,0.266313,0.825346,-0.932039,0.639584,0.102021,0.514188,0.198411,0.045508,120.824430,20.481979,50.906065,21.071619,98.140324,19.768276,1.303343,0.589640,0.713703
100.665012,0.207672,-51.132011,0.188380,0.820565,0.277034,0.043354,0.220943,0.092063,0.212242,0.433764,0.133068,340.505225,19.357058,166.454755,19.785301,242.405142,18.786541,0.998760,0.428244,0.570517
100.987515,0.184804,-51.129425,0.164831,0.437930,0.253945,0.198281,0.212395,0.017332,0.175703,0.098643,-0.111453,408.492872,19.159405,167.549634,19.778183,316.056466,18.498484,1.279699,0.618778,0.660921
101.073519,0.126284,-51.031035,0.125741,0.243825,0.181860,-0.038951,0.158782,-0.019012,0.121818,-0.156069,-0.083171,710.644697,18.558235,307.396915,19.119293,589.049365,17.822515,1.296778,0.561058,0.735720
100.850454,0.584897,-51.021681,0.565793,-0.602113,0.846226,-0.046661,0.679412,-0.517170,0.601338,-0.860033,0.041902,118.557743,20.502542,58.987388,20.911644,95.125735,19.802151,1.109493,0.409101,0.700392
100.978451,0.097963,-50.982449,0.095459,0.600022,0.139721,0.098696,0.131524,0.121363,0.097396,1.246071,-0.096635,1037.748432,18.147137,421.863786,18.775612,882.498867,17.383610,1.392002,0.628475,0.763527
99.607660,0.374636,-51.549055,0.508463,0.593718,0.520926,0.079082,0.619234,0.260077,0.441844,0.588617,0.195919,134.675641,20.364143,65.078111,20.804955,100.297562,19.744669,1.060286,0.440811,0.619474
99.804055,0.232297,-51.476145,0.299025,0.928347,0.308415,0.268323,0.353578,-0.033926,0.260850,-0.130059,-0.036010,262.530011,19.639420,103.865237,20.297367,191.967293,19.039827,1.257540,0.657948,0.599592
99.932081,0.098814,-51.385383,0.123589,0.556075,0.123503,-0.156039,0.137320,0.186831,0.110408,1.692186,0.016885,990.713260,18.197496,393.066430,18.852377,830.231691,17.449898,1.402479,0.654881,0.747599
99.917893,0.234676,-51.331599,0.259336,0.449901,0.284757,0.094003,0.306395,-0.098206,0.254212,-0.386314,-0.005086,383.160076,19.228916,162.129466,19.813887,277.412636,18.640079,1.173807,0.584970,0.588837
100.309079,0.278561,-51.239177,0.263347,-0.023306,0.356992,0.138938,0.335416,0.292207,0.278083,1.050792,0.138109,251.250405,19.687099,112.424837,20.211386,181.572413,19.100271,1.111115,0.524286,0.586828
100.300832,0.069135,-51.221186,0.070316,0.552544,0.089052,0.081629,0.089713,-0.015422,0.072937,-0.211441,0.112400,1864.102536,17.511192,730.553284,18.179413,1626.040856,16.720066,1.459347,0.668221,0.791126
100.341535,0.113704,-51.207238,0.111999,0.678335,0.148596,0.114855,0.143969,0.107467,0.117407,0.915339,0.107394,857.700675,18.354027,352.444521,18.970816,705.875769,17.626076,1.344740,0.616789,0.727951
100.360111,0.468819,-51.171429,0.462225,-0.016455,0.575570,0.770414,0.533958,0.633262,0.498860,1.269418,0.053530,154.256619,20.216757,78.723052,20.598288,99.302704,19.755493,0.842794,0.381531,0.461264
100.120485,0.435874,-51.269292,0.416423,0.988515,0.570006,-0.281415,0.538571,0.689885,0.486163,1.419041,0.109055,163.552499,20.153223,99.724021,20.341543,120.357489,19.546713,0.794830,0.188320,0.606510
100.068389,0.213716,-51.263104,0.239003,0.510727,0.281274,0.292755,0.314944,-0.087472,0.249854,-0.350094,0.114903,369.246385,19.269075,151.747218,19.885740,269.913634,18.669834,1.215906,0.616665,0.599241
99.959608,0.144461,-51.271874,0.157862,0.768273,0.183780,0.145414,0.181064,0.036923,0.159208,0.231918,0.120908,634.241984,18.681730,255.586919,19.319696,468.107485,18.072031,1.247665,0.637966,0.609699
100.096038,0.071132,-51.230520,0.071653,-0.882962,0.092732,2.497547,0.091127,0.039377,0.076647,0.513742,0.125597,1906.628118,17.486702,901.888059,17.950661,1404.125141,16.879381,1.071280,0.463959,0.607321
100.139827,0.446651,-51.210954,0.434343,-0.124083,0.654516,-0.355499,0.566281,-0.196311,0.510790,-0.384329,0.126717,170.649093,20.107107,85.855439,20.504122,132.781068,19.440056,1.064066,0.397015,0.667051
100.138443,0.335907,-51.179038,0.296550,0.164985,0.397851,0.362900,0.354232,-0.122674,0.330013,-0.371724,0.355830,267.523680,19.618961,119.389085,20.146132,197.624692,19.008293,1.137838,0.527170,0.610668
100.140930,0.198429,-51.176588,0.189485,0.887602,0.238207,0.515067,0.229005,0.962451,0.197190,4.880823,0.334161,511.564422,18.915115,165.736868,19.789995,508.661920,17.981823,1.808172,0.874880,0.933292
100.232978,0.198657,-51.179690,0.178357,0.959338,0.237770,0.004967,0.222490,0.211528,0.191285,1.105824,0.210180,457.522534,19.036335,196.268680,19.606415,352.902510,18.378759,1.227655,0.570080,0.657576
100.265929,0.470490,-51.185447,0.441821,-0.569949,0.591161,1.145722,0.537404,0.108328,0.464941,0.232993,0.141883,168.362860,20.121752,85.685314,20.506277,108.295872,19.661366,0.844912,0.384525,0.460386
100.352769,0.446040,-51.143213,0.469059,0.256544,0.684460,0.240641,0.621568,0.495123,0.503229,0.983892,0.049232,144.050752,20.291079,74.895458,20.652403,104.958663,19.695351,0.957052,0.361324,0.595728
100.266814,0.289481,-51.170181,0.253892,0.036831,0.353662,0.057772,0.311405,0.153253,0.284485,0.538705,0.226707,295.003566,19.512798,124.653103,20.099285,205.355128,18.966631,1.132654,0.586487,0.546167
100.293830,0.942849,-51.153123,1.029639,-0.596431,1.793244,2.467418,1.234961,-1.412444,1.151452,-1.226664,-0.043775,99.916515,20.688274,56.843473,20.951841,80.483244,19.983631,0.968210,0.263567,0.704643
100.293949,0.522805,-51.138700,0.578213,-0.914562,0.746136,0.725592,0.741022,0.718541,0.589340,1.219230,0.185048,121.218477,20.478445,61.920177,20.858961,86.062262,19.910864,0.948097,0.380516,0.567581
100.244275,0.221358,-51.156041,0.229894,0.791077,0.293266,0.255852,0.299977,-0.027463,0.234099,-0.117314,0.180132,330.339859,19.389965,136.094004,20.003944,237.311773,18.809597,1.194347,0.613979,0.580368
100.219338,0.352046,-51.158289,0.373781,0.340534,0.481232,0.910984,0.459282,0.052558,0.378949,0.138693,0.079106,191.258728,19.983315,93.367825,20.413050,154.335179,19.276733,1.136316,0.429735,0.706581
100.219338,0.352046,-51.158289,0.373781,0.340534,0.481232,0.910984,0.459282,0.052558,0.378949,0.138693,0.079106,191.258728,19.983315,93.367825,20.413050,154.335179,19.276733,1.136316,0.429735,0.706581
100.221298,0.474904,-51.157595,0.469687,0.186309,0.661338,0.864135,0.643140,0.394640,0.510354,0.773267,0.106663,134.150940,20.368383,60.321895,20.887354,84.547272,19.930147,0.957207,0.518970,0.438236
100.221298,0.474904,-51.157595,0.469687,0.186309,0.661338,0.864135,0.643140,0.394640,0.510354,0.773267,0.106663,134.150940,20.368383,60.321895,20.887354,84.547272,19.930147,0.957207,0.518970,0.438236
100.189478,0.181130,-51.154030,0.195057,0.658770,0.231590,0.227555,0.249198,0.324165,0.193935,1.671516,0.268999,450.141613,19.053993,192.344412,19.628344,324.061196,18.471329,1.157015,0.574350,0.582664
100.189478,0.181130,-51.154030,0.195057,0.658770,0.231590,0.227555,0.249198,0.324165,0.193935,1.671516,0.268999,450.141613,19.053993,192.344412,19.628344,324.061196,18.471329,1.157015,0.574350,0.582664
100.192678,0.437764,-51.151195,0.451433,0.993694,0.625040,0.068539,0.573556,-0.468698,0.459503,-1.020011,0.222657,150.750581,20.241720,65.857155,20.792034,88.971058,19.874773,0.917261,0.550314,0.366947
100.192678,0.437764,-51.151195,0.451433,0.993694,0.625040,0.068539,0.573556,-0.468698,0.459503,-1.020011,0.222657,150.750581,20.241720,65.857155,20.792034,88.971058,19.874773,0.917261,0.550314,0.366947
100.191761,0.603229,-51.148426,0.854707,0.170475,0.788448,1.533113,1.164828,0.784031,0.612175,1.280729,0.339930,124.337547,20.450861,56.208021,20.964046,92.852812,19.828407,1.135639,0.513186,0.622454
100.262301,0.126552,-51.132464,0.141469,0.531291,0.167402,-0.030284,0.173562,0.229993,0.141314,1.627540,0.163773,702.553286,18.570669,297.798675,19.153736,579.995361,17.839334,1.314402,0.583067,0.731335
100.336006,0.247044,-51.096628,0.253299,0.101870,0.328008,-0.094415,0.320147,0.096687,0.260463,0.371210,0.228050,379.123346,19.240416,170.223278,19.760994,308.138290,18.526031,1.234962,0.520578,0.714384
100.334265,0.360047,-51.091641,0.410342,0.727526,0.489059,0.481332,0.459402,-0.208356,0.412594,-0.504991,0.075924,179.036333,20.055014,90.507691,20.446829,136.436715,19.410568,1.036261,0.391815,0.644445
100.248341,0.481997,-51.107707,0.487682,0.625131,0.630723,-0.832671,0.583909,0.613104,0.513557,1.193838,0.181762,149.667469,20.249548,73.017974,20.679968,100.081101,19.747015,0.932953,0.430420,0.502533
100.293909,0.320904,-51.100911,0.369910,0.992346,0.426543,-0.231323,0.425964,0.271845,0.375691,0.723587,0.126692,236.233052,19.754015,127.587363,20.074022,173.614700,19.148930,0.925093,0.320007,0.605085
100.295632,0.224874,-51.098365,0.240572,0.292770,0.318571,0.010300,0.288746,0.109995,0.246974,0.445372,0.079611,364.672776,19.282608,156.535398,19.852011,287.625329,18.600828,1.251183,0.569403,0.681780
100.321671,0.399850,-51.093284,0.449537,0.056383,0.546027,2.333240,0.590321,-0.625472,0.434253,-1.440340,0.145862,188.085137,20.001480,75.140178,20.648861,139.160588,19.389105,1.259756,0.647381,0.612375
100.289681,0.532268,-51.092670,0.527903,-0.262528,0.704648,0.348461,0.628669,0.145701,0.581995,0.250347,0.167798,155.170743,20.210342,76.866805,20.624195,113.084219,19.614391,1.009804,0.413853,0.595951
100.306445,0.111234,-51.088567,0.113897,0.726834,0.145454,-0.170671,0.140581,0.106166,0.118106,0.898907,0.130250,916.113381,18.282494,376.271542,18.899788,759.037627,17.547237,1.352551,0.617294,0.735256
99.813161,0.296566,-51.225981,0.285470,0.818738,0.396157,0.112892,0.367966,0.045777,0.279787,0.163614,-0.209400,269.359734,19.611536,127.804551,20.072176,198.965283,19.000952,1.071224,0.460640,0.610584
99.653486,0.077419,-51.273207,0.079209,0.705789,0.103179,0.063394,0.103289,0.095970,0.074822,1.282641,-0.107378,1481.692191,17.760471,584.639143,18.421322,1254.723073,17.001526,1.419796,0.660851,0.758945
99.644355,0.296617,-51.196371,0.260321,0.571341,0.365872,-0.847941,0.329331,0.124030,0.245205,0.505820,-0.208823,343.868625,19.346386,169.700780,19.764332,264.538419,18.691673,1.072659,0.417946,0.654713
99.873939,0.067071,-51.154806,0.071944,0.563408,0.087887,0.223886,0.091304,0.031257,0.070863,0.441098,-0.087183,1757.412092,17.575182,666.624658,18.278839,1540.510721,16.778734,1.500105,0.703657,0.796448
99.843623,0.220180,-51.130374,0.235270,0.820350,0.296863,-0.008089,0.319902,-0.021356,0.233194,-0.091581,-0.088723,309.786037,19.459713,133.886378,20.021702,224.321729,18.870718,1.150984,0.561989,0.588995
99.950692,0.307545,-51.239935,0.335383,0.542268,0.396292,0.592488,0.397738,-0.336487,0.339022,-0.992522,0.108856,244.659524,19.715961,104.224751,20.293615,174.604853,19.142756,1.150860,0.577654,0.573206
100.123588,0.555034,-51.156385,0.561894,-0.851500,0.671629,1.368905,0.721337,0.273243,0.598494,0.456551,0.159264,127.547366,20.423187,72.268389,20.691172,98.419391,19.765194,0.925978,0.267984,0.657993
100.094330,0.323686,-51.125808,0.335429,0.788635,0.410493,0.594278,0.425759,0.342415,0.345946,0.989793,0.083662,221.228008,19.825266,100.476736,20.333378,153.635768,19.281664,1.051714,0.508112,0.543602
100.101161,0.291725,-51.104477,0.354871,0.534610,0.401997,0.323864,0.442490,-0.557987,0.338154,-1.650096,0.141833,238.556264,19.743389,95.422748,20.389412,167.919143,19.185144,1.204268,0.646023,0.558245
100.145674,0.377070,-51.145205,0.428786,-0.055130,0.479730,-0.977437,0.525501,-0.530543,0.436226,-1.216211,0.217615,169.850719,20.112198,87.095225,20.488556,122.645212,19.526270,0.962286,0.376358,0.585928
100.215558,0.254595,-51.117523,0.260574,0.320137,0.316269,0.102063,0.320110,0.318471,0.277487,1.147696,0.189677,314.076406,19.444778,152.099935,19.883219,240.891230,18.793343,1.089876,0.438440,0.651436
100.232806,0.397530,-51.098929,0.438795,0.410320,0.499970,0.473098,0.493378,-0.226119,0.452566,-0.499637,0.206875,170.189858,20.110033,85.754874,20.505396,126.144448,19.495726,1.009670,0.395363,0.614307
100.224093,0.746934,-51.098055,0.720158,-0.734100,1.036234,1.855665,0.948289,-0.581879,0.732969,-0.793865,0.206366,127.696579,20.421919,70.308050,20.721029,69.098045,20.149231,0.571798,0.299110,0.272688
100.165335,0.192771,-51.108094,0.205128,0.559609,0.263143,0.067578,0.311672,-0.096997,0.208028,-0.466266,0.111651,404.989208,19.168758,185.732212,19.666325,317.332575,18.494108,1.172216,0.497566,0.674650
100.168710,0.443400,-51.106578,0.474162,0.351242,0.625398,0.979626,0.635557,0.214829,0.493594,0.435233,0.149065,140.975408,20.314508,70.176586,20.723063,104.291002,19.702278,1.020784,0.408554,0.612230
100.147431,0.432055,-51.114790,0.397324,0.588035,0.581424,-1.006928,0.539452,-0.422371,0.432496,-0.976589,0.170511,163.400789,20.154232,86.719145,20.493256,108.497543,19.659346,0.833910,0.339024,0.494886
100.202384,0.512416,-51.098814,0.440938,0.259139,0.675669,-0.610019,0.588448,-0.727792,0.502750,-1.447622,0.103495,143.799590,20.292973,72.466244,20.688202,88.807273,19.876774,0.811428,0.395229,0.416199
100.199007,0.054613,-51.100943,0.057707,0.600158,0.070119,0.190752,0.076582,-0.000393,0.060617,-0.006476,0.115313,2705.914804,17.106581,975.700501,17.865252,2456.899060,16.271927,1.593325,0.758671,0.834654
100.203588,0.331449,-51.077475,0.374257,0.655013,0.433187,-0.676486,0.469974,0.301374,0.369844,0.814868,0.055857,215.248238,19.855019,115.714052,20.180077,159.694420,19.239672,0.940405,0.325058,0.615347
100.206687,0.174507,-51.075336,0.170062,0.525040,0.226832,0.006371,0.232498,-0.062174,0.180574,-0.344313,0.128338,503.982475,18.931328,213.572479,19.514679,375.322347,18.311884,1.202795,0.583351,0.619444
100.272403,0.056461,-51.090474,0.058501,0.566060,0.072918,0.073309,0.078090,-0.055789,0.060476,-0.922488,0.115569,2718.148505,17.101685,1009.044831,17.828766,2475.723760,16.263639,1.565126,0.727081,0.838045
