ra,dec,Vhel,Vhel_error,mem
39.971875,-34.57661111,51.4,0.4,0.996
39.98375,-34.59530556,56.8,0.5,0.997
39.98033333,-34.62422222,53.4,0.4,0.995
39.98204167,-34.63938889,64.3,0.6,0.985
39.993625,-34.64763889,54.9,0.5,0.995
39.98066667,-34.64908333,49.9,0.8,0.992
39.99791667,-34.55713889,70.4,0.5,0.994
40.00633333,-34.58605556,63.2,0.5,0.926
40.00054167,-34.58786111,51.6,0.5,0.996
39.993375,-34.60002778,41.1,0.4,0.985
40.00075,-34.61536111,71,1.6,0.986
40.02954167,-34.6175,32.9,1.2,0.966
40.030625,-34.63241667,54.5,0.6,0.995
40.02204167,-34.63688889,43.6,1,0.983
40.0475,-34.71411111,79.2,0.8,0.949
40.06104167,-34.65702778,60.1,0.8,0.99
40.05033333,-34.64661111,59.4,0.5,0.995
40.0975,-34.64611111,48.3,0.7,0.995
40.01920833,-34.66886111,65.3,0.6,0.994
39.98470833,-34.66380556,57.4,0.7,0.995
40.00429167,-34.65469444,70.2,0.7,0.99
40.03791667,-34.65386111,58,0.6,0.995
40.01945833,-34.64472222,65.6,0.6,0.993
40.01016667,-34.64061111,36.5,0.6,0.982
40.03458333,-34.51188889,58.3,0.4,0.998
40.01870833,-34.52425,58.2,0.7,0.998
40.01691667,-34.56105556,55.9,0.3,0.997
40.018125,-34.56591667,65.8,0.6,0.995
40.02304167,-34.58475,70.5,0.5,0.993
40.05033333,-34.51672222,48.4,0.6,0.997
40.03691667,-34.52977778,68.8,0.5,0.997
40.04708333,-34.55797222,83.2,0.6,0.962
40.0305,-34.56497222,51.8,0.5,0.996
40.03708333,-34.56938889,58.3,0.5,0.996
40.05554167,-34.57897222,47.3,0.6,0.995
40.06804167,-34.61672222,43.6,0.5,0.992
40.117,-34.72252778,59.5,0.5,0.991
40.125375,-34.7185,74.3,3.9,0.969
40.116125,-34.71761111,57.8,2.9,0.984
40.11691667,-34.70502778,54.7,2.6,0.988
40.117375,-34.69763889,41.8,3.5,0.982
40.10879167,-34.68438889,69.6,0.7,0.988
40.09854167,-34.7095,56.9,0.5,0.992
40.08620833,-34.49902778,84.4,0.3,0.961
40.09495833,-34.50411111,42,0.4,0.992
40.10075,-34.50794444,68.1,0.5,0.994
40.06745833,-34.54869444,51.3,0.5,0.994
40.07095833,-34.55863889,51.1,0.8,0.988
40.09141667,-34.58166667,72.5,0.4,0.989
40.09204167,-34.60052778,60.9,0.4,0.995
40.10304167,-34.49366667,52.5,0.6,0.996
40.10595833,-34.51533333,48.7,0.5,0.988
40.11341667,-34.54,50,0.6,0.995
40.11041667,-34.57705556,45.9,0.4,0.992
40.106125,-34.58316667,73.2,0.4,0.988
40.13325,-34.59997222,55.5,0.4,0.994
40.14733333,-34.71041667,46.7,3.6,0.991
40.13404167,-34.71069444,50.3,1.1,0.993
40.13791667,-34.69827778,77.8,0.5,0.974
40.12595833,-34.66238889,52.8,0.4,0.995
40.11383333,-34.65236111,64.5,0.5,0.994
40.13033333,-34.71541667,62.2,5.2,0.981
40.12695833,-34.71152778,58.4,2.7,0.99
40.12633333,-34.70516667,50.8,2.3,0.971
40.13120833,-34.70277778,53.4,0.5,0.992
40.122625,-34.70175,56.9,0.4,0.995
40.133375,-34.69791667,50,3.8,0.962
40.121,-34.68936111,50,0.4,0.995
40.13629167,-34.50494444,60.5,0.4,0.982
40.124375,-34.51227778,53.7,0.4,0.995
40.14241667,-34.51280556,63.5,0.4,0.995
40.15358333,-34.53030556,63.1,0.4,0.995
40.149375,-34.54205556,54.6,0.4,0.995
40.14816667,-34.57955556,58.4,0.4,0.995
40.166875,-34.51269444,40.1,0.4,0.983
40.20466667,-34.54344444,60.3,0.4,0.995
40.180625,-34.56216667,49.4,0.7,0.995
40.22504167,-34.56966667,57.6,0.4,0.993
40.19691667,-34.57163889,67.2,0.4,0.993
40.24420833,-34.57708333,63.5,0.4,0.994
40.20733333,-34.71363889,70.1,1.1,0.972
40.22208333,-34.68441667,53.5,0.4,0.979
40.173,-34.63872222,73.1,0.5,0.975
40.20879167,-34.60208333,53.4,0.4,0.945
40.14004167,-34.69238889,60.5,0.6,0.988
40.14966667,-34.63897222,62.7,0.6,0.983
40.06979167,-34.51533333,71.2,0.3,0.99
40.02508333,-34.69233333,44.4,0.6,0.989
40.163,-34.54391667,57.7,1.5,0.995
40.1825,-34.50861111,70.6,1.5,0.991
40.22729167,-34.5545,75.9,1.1,0.981
40.204375,-34.63677778,78.9,1.6,0.964
40.179375,-34.58644444,53.3,1.6,0.994
39.99754167,-34.57263889,35,6.5,0.971
39.98270833,-34.57602778,69.8,7.5,0.969
39.99470833,-34.57794444,55.5,1.4,0.996
39.9735,-34.58741667,43.4,2.7,0.993
39.98941667,-34.59680556,58.2,2.8,0.995
40.00870833,-34.60911111,63.8,2.2,0.994
40.00770833,-34.61566667,46.3,2.8,0.992
