ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,parallax_over_error,ra_dec_corr,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,bp_g,g_rp
39.899609,0.072309,-35.177116,0.101816,0.452292,0.142535,-0.537592,0.197070,-0.231190,0.147608,-1.566239,-0.245217,1282.335598,17.918362,468.070402,18.675610,1249.751990,17.019861,1.655748,0.757248,0.898500
39.907601,0.109736,-35.184517,0.156619,0.571318,0.202528,-0.282227,0.294205,0.028556,0.206978,0.137965,-0.217852,532.684141,18.872190,229.875157,19.447659,465.843412,18.091320,1.356339,0.575468,0.780870
39.829930,0.091346,-35.228829,0.141098,0.496192,0.173372,-0.781755,0.268182,0.103133,0.175403,0.587978,-0.199268,700.999067,18.574072,284.341105,19.216789,649.544066,17.730398,1.486391,0.642717,0.843674
40.400281,0.110980,-34.653962,0.145004,0.569554,0.213710,-0.036036,0.312004,-0.435247,0.219256,-1.985112,-0.352075,555.264412,18.827116,228.751907,19.452976,504.870797,18.003969,1.449007,0.625860,0.823147
40.368123,0.141535,-34.655233,0.182656,0.081936,0.272961,-0.158998,0.412175,-0.703559,0.276624,-2.543374,-0.325118,459.474118,19.032713,201.943574,19.588312,372.713422,18.333483,1.254829,0.555599,0.699230
40.396781,0.118001,-34.688581,0.153139,0.612666,0.236670,-0.647729,0.348157,-0.244179,0.228915,-1.066682,-0.346870,593.713317,18.754423,249.522389,19.358614,561.711133,17.888138,1.470476,0.604191,0.866285
40.431721,0.130111,-34.644871,0.171087,0.648725,0.243112,-0.374121,0.356995,-0.169202,0.254490,-0.664867,-0.389964,467.369626,19.014214,211.035065,19.540503,394.656064,18.271374,1.269129,0.526289,0.742840
40.539134,0.123343,-34.602065,0.162395,0.329989,0.234040,-0.898773,0.339756,0.285664,0.243618,1.172588,-0.373045,623.343935,18.701546,282.538071,19.223696,566.519205,17.878883,1.344812,0.522150,0.822662
40.496461,0.101185,-34.567906,0.138100,0.351070,0.201619,-0.313297,0.287439,-0.075174,0.202876,-0.370543,-0.404732,659.091649,18.641001,266.265304,19.288101,579.639384,17.854025,1.434076,0.647100,0.786976
40.508294,0.106594,-34.556566,0.150570,0.139015,0.219400,0.179316,0.319624,-0.141621,0.216313,-0.654705,-0.398667,596.901976,18.748608,222.084381,19.485094,547.770733,17.915422,1.569672,0.736486,0.833185
40.501144,0.095452,-34.588098,0.130846,0.305703,0.191348,-0.190442,0.280958,-0.031633,0.195633,-0.161698,-0.410986,774.255417,18.466156,294.349223,19.179232,720.703049,17.617529,1.561703,0.713076,0.848627
40.518697,0.113281,-34.542932,0.158775,0.451606,0.231219,-0.608816,0.337249,-0.137977,0.231860,-0.595089,-0.401555,578.893237,18.781870,247.765149,19.366287,519.052132,17.973892,1.392395,0.584417,0.807978
40.465157,0.096521,-34.696760,0.126908,0.392708,0.195280,-0.781369,0.286763,-0.318759,0.175245,-1.818936,-0.344950,781.796348,18.455631,303.141099,19.147276,748.572367,17.576336,1.570940,0.691645,0.879295
40.433960,0.089509,-34.707668,0.120017,0.291644,0.175738,-0.487134,0.262353,0.050330,0.169732,0.296525,-0.296198,795.226739,18.437138,320.583024,19.086536,704.507680,17.642206,1.444330,0.649399,0.794931
39.672836,0.193190,-34.883907,0.247774,0.429399,0.357509,-0.318708,0.499363,-0.664154,0.366610,-1.811607,-0.246586,303.150960,19.484219,142.229477,19.968914,264.273632,18.706785,1.262129,0.484695,0.777433
39.828575,0.332458,-34.803149,0.402139,-0.172349,0.652870,0.292451,0.845333,0.485777,0.614130,0.790999,-0.169473,165.326476,20.142509,71.601511,20.714083,153.069797,19.299696,1.414387,0.571573,0.842813
39.598096,0.107487,-34.810508,0.135889,0.204808,0.203597,-0.634286,0.278396,-0.407266,0.207233,-1.965252,-0.225860,633.228387,18.684465,261.935774,19.305901,530.317578,17.950581,1.355320,0.621435,0.733885
39.685720,0.456003,-34.728815,0.588955,0.688928,0.857635,0.951848,1.192207,0.070860,0.932094,0.076022,-0.146200,109.622667,20.588615,91.188266,20.451540,100.705974,19.754282,0.697258,-0.137075,0.834333
39.709268,0.121224,-34.667116,0.148054,-0.160054,0.228096,-0.256834,0.305475,-0.200952,0.231661,-0.867437,-0.165461,502.123975,18.936338,213.363418,19.528587,447.315569,18.135386,1.393202,0.592249,0.800953
39.699553,0.061790,-34.661039,0.078039,0.356211,0.117632,-0.489245,0.164895,-0.122644,0.120918,-1.014272,-0.253166,1296.399970,17.906519,451.195963,18.715475,1313.131619,16.966150,1.749325,0.808956,0.940369
39.828044,0.237458,-34.803932,0.303450,-0.204982,0.445504,1.807550,0.604915,-1.175399,0.454157,-2.588089,-0.093055,204.810130,19.909986,99.273758,20.359303,153.221581,19.298620,1.060682,0.449316,0.611366
39.768691,0.105392,-34.634353,0.143354,0.838919,0.202839,-0.574154,0.295503,0.199075,0.211110,0.942991,-0.181038,596.156396,18.749966,244.558075,19.380434,545.863523,17.919210,1.461224,0.630468,0.830755
39.502231,0.076531,-34.876119,0.104890,0.413949,0.143440,-0.677049,0.211600,-0.421592,0.152108,-2.771665,-0.200585,967.648418,18.224072,390.362799,18.872717,841.842806,17.448843,1.423874,0.648645,0.775229
39.819233,0.392701,-34.768680,0.516968,0.043817,0.835773,-1.789096,1.099141,1.141974,0.778800,1.466324,-0.276273,153.135775,20.225674,77.336309,20.630430,145.959157,19.351341,1.279089,0.404757,0.874332
39.825753,0.110149,-34.806054,0.143573,0.734093,0.207767,-0.493493,0.281711,-0.133995,0.216064,-0.620163,-0.146716,590.458007,18.760393,256.616527,19.328176,525.473644,17.960543,1.367634,0.567783,0.799850
39.300894,0.114234,-34.863966,0.156550,0.612974,0.214335,-0.097174,0.320341,0.084709,0.219844,0.385315,-0.422883,652.203178,18.652409,296.182307,19.172491,558.059356,17.895220,1.277271,0.520082,0.757189
39.857846,0.262038,-34.868836,0.330018,0.601794,0.487749,-0.280312,0.684018,-0.055517,0.478297,-0.116073,-0.241088,221.374997,19.825544,115.609546,20.193905,182.273413,19.110111,1.083794,0.368361,0.715433
39.787984,0.349840,-34.717143,0.440939,0.925142,0.723499,-0.411021,0.967889,-0.691320,0.656313,-1.053339,-0.218881,148.831851,20.256626,141.617956,19.973593,134.123740,19.443155,0.530437,-0.283033,0.813471
39.687281,0.117566,-34.660084,0.146588,0.586296,0.224471,0.028799,0.309024,0.005197,0.227222,0.022871,-0.181782,515.436921,18.907927,225.201408,19.469961,456.077359,18.114325,1.355637,0.562035,0.793602
39.637623,0.099371,-34.677325,0.124612,0.553768,0.188582,-0.087152,0.254241,-0.148257,0.195484,-0.758412,-0.199319,654.824784,18.648052,275.735311,19.250156,571.654057,17.869087,1.381069,0.602104,0.778965
39.691031,0.275979,-34.596449,0.377213,0.650878,0.512711,-0.784858,0.756391,0.007736,0.453847,0.017045,-0.764837,353.616998,19.317034,nan,nan,nan,nan,nan,nan,nan
39.743893,0.329114,-34.728749,0.404167,-0.360800,0.653778,0.328336,0.860461,0.222505,0.609062,0.365324,-0.180447,157.504626,20.195133,103.685321,20.312096,148.214441,19.334694,0.977402,0.116962,0.860439
39.387597,0.108068,-34.646378,0.143962,0.472503,0.208251,0.082008,0.286814,0.121081,0.215455,0.561979,-0.253371,547.841275,18.841728,227.811192,19.457451,492.156511,18.031662,1.425789,0.615723,0.810066
39.811792,0.133156,-34.731071,0.174601,0.495118,0.247126,-0.674444,0.357466,0.287652,0.254450,1.130485,-0.169412,460.030960,19.031399,188.601112,19.662527,407.193541,18.237417,1.425110,0.631128,0.793982
39.839892,0.297144,-34.714237,0.385641,0.283645,0.586234,-0.934796,0.767806,0.669274,0.563853,1.186966,-0.205669,158.249510,20.190010,74.389642,20.672607,144.723450,19.360573,1.312035,0.482597,0.829437
39.564809,0.110254,-34.906286,0.144419,0.481090,0.210099,-0.319517,0.303499,0.156053,0.206941,0.754094,-0.302422,795.437880,18.436850,332.675116,19.046337,711.268002,17.631836,1.414501,0.609488,0.805014
39.670037,0.215647,-34.652765,0.276378,0.521438,0.403573,-0.522667,0.573223,0.293884,0.427566,0.687342,-0.251699,249.124807,19.697323,128.037628,20.083044,227.093902,18.871407,1.211637,0.385721,0.825916
