ra,dec,Vhel,Vhel_error,Fe_H,Fe_H_error,mem
168.353699,22.122332,78.11051819,0.900693361,-0.9541202371,0.3314792053,1
168.325912,22.1415,75.26998396,4.844941488,-1.633161004,0.2454419942,1
168.300224,22.056662,81.21923449,1.445524752,-1.770071648,0.4582442769,1
168.342695,22.060175,80.63059302,0.5959159171,-2.738176485,0.06655148507,1
168.355033,22.0576,85.28281531,0.455057002,-1.444515464,0.1249173382,1
168.358483,22.050218,79.4986575,0.8158458742,-1.232256144,0.2104868456,1
168.395083,22.052944,84.98840634,0.9328262915,-1.435912941,0.265309942,1
168.407826,22.062301,76.08142711,1.248645388,-0.9509894983,0.3052249778,1
168.376635,22.066142,78.52073063,0.9436507142,-1.20777582,0.2617177065,1
168.178024,22.089599,83.02690014,0.4651488315,-1.660663506,0.1158063586,1
168.227179,22.103762,63.81545893,1.609637416,-2.768777536,0.2506572125,1
168.24074,22.180602,78.40646914,0.6980029835,-1.461303089,0.4445013361,1
168.273713,22.118336,91.29124126,6.328135006,0.07116300578,0.5937996636,1
168.303913,22.135978,83.01651363,0.5970480209,-1.11934018,0.3567072004,1
168.298067,22.190933,74.96410541,0.8069172383,-1.63369863,0.5021426786,1
168.303779,22.154937,75.009077,0.6737050627,-1.323727121,0.2657944974,1
168.276658,22.201502,74.1505349,1.23855553,-1.518911151,0.39214291,1
168.379041,22.145726,80.29582183,0.4736032565,-1.574424779,0.1086316259,1
168.383543,22.153729,60.98845836,0.7432858156,-1.368855385,0.2791352972,1
168.41847,22.205108,81.39085412,0.4767909246,-1.884866135,0.2378639725,1
168.333801,22.101774,71.83741981,0.7851531196,-1.09,0.2333452378,1
168.341818,22.074613,97.23947375,0.7610630269,-2.326404056,0.2183371446,1
168.343937,22.125318,68.30366481,0.7130499219,-2.01,0.2114399288,1
168.349274,22.082756,82.9379247,1.156083464,-1.06506191,0.3363804622,1
168.347091,22.089747,66.71112414,1.333356584,-1.534345205,0.1938201398,1
168.345948,22.17296,86.125353,0.4382285444,-1.334479769,0.08870454954,1
168.350775,22.104231,93.58854661,0.8120109238,-1.41043553,0.20778874,1
168.356143,22.22392,91.24291365,0.5807641637,-2.163082803,0.470707923,1
168.376682,22.134689,59.51710231,1.960283302,-1.34376395,0.2453184248,1
168.37355,22.188914,77.7076941,0.7990667718,-1.401725332,0.1607862078,1
168.391124,22.102234,80.07583942,0.4540728939,-1.47494382,0.2319945844,1
168.382364,22.237312,87.15746978,1.412190815,-1.333047473,0.1951094944,1
168.40462,22.15921,77.38450889,7.285118097,-2.228823529,0.1164171,1
168.39086,22.167593,88.81050929,1.176934515,-1.717940768,0.2839530565,1
168.393524,22.19515,83.2780932,0.7195692913,-1.842192023,0.3361764848,1
168.404546,22.118717,69.711021,0.5261882169,-1.457529412,0.2305999997,1
168.400093,22.205788,83.34482306,0.5534255693,-1.197160883,0.2095445143,1
168.413035,22.155662,80.18660568,1.37464461,-1.870965481,0.4368686353,1
168.42798,22.124331,77.44986803,0.5826322678,-2.148918033,0.1282620269,1
168.341596,22.192213,84.18337931,0.8371145845,-1.697371855,0.2104697847,1
