ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,parallax_over_error,ra_dec_corr,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,bp_g,g_rp
15.324747,0.093900,-34.083631,0.054365,0.095729,0.104508,-0.289136,0.089771,0.016597,0.140980,0.117725,-0.194698,869.176364,18.339598,388.133558,18.866089,668.180749,17.685661,1.180428,0.526491,0.653936
15.260906,0.174403,-34.065944,0.102023,0.023780,0.202555,0.014305,0.174668,-0.033033,0.272361,-0.121284,-0.194945,368.190237,19.272186,182.458211,19.685635,263.779362,18.694794,0.990841,0.413448,0.577393
15.224136,0.095834,-34.032409,0.047196,0.248899,0.106509,-0.166616,0.079697,-0.054337,0.136865,-0.397014,-0.258175,1085.515680,18.098276,475.283434,18.646160,854.551135,17.418550,1.227610,0.547884,0.679726
15.151991,0.111130,-34.062779,0.056408,0.268222,0.118212,-0.307396,0.094649,0.269561,0.166100,1.622883,-0.185065,741.816298,18.511625,347.130528,18.987310,577.806566,17.843439,1.143871,0.475685,0.668186
15.185823,0.070124,-34.009492,0.031178,0.274182,0.067897,-0.208458,0.053877,0.059215,0.098560,0.600802,-0.238016,1909.447919,17.485098,797.260234,18.084541,1583.730168,16.748693,1.335848,0.599443,0.736404
15.081704,0.118380,-34.042408,0.061759,-0.157852,0.124860,-0.054172,0.099081,-0.033869,0.176712,-0.191663,-0.178903,654.045674,18.648346,304.879893,19.128220,493.104356,18.015549,1.112671,0.479874,0.632797
15.020929,0.079289,-34.021278,0.042796,0.199095,0.086619,-0.159231,0.068775,0.153302,0.117522,1.304450,-0.202427,1217.927827,17.973312,556.274109,18.475321,959.886367,17.292345,1.182976,0.502008,0.680967
15.021157,0.208381,-33.999817,0.110672,0.236211,0.234182,-0.298289,0.181051,-0.110267,0.319491,-0.345133,-0.186050,321.214896,19.420378,149.057344,19.905159,235.123053,18.819658,1.085501,0.484781,0.600719
15.156241,0.097653,-33.990721,0.046824,0.078773,0.102261,-0.114316,0.079898,-0.103505,0.139799,-0.740384,-0.265278,1031.189705,18.154020,446.605689,18.713732,819.911296,17.463478,1.250254,0.559711,0.690542
15.173995,0.062421,-33.983636,0.032733,0.152625,0.066789,-0.117460,0.053667,-0.139522,0.091641,-1.522490,-0.199477,1722.142763,17.597195,707.510989,18.214209,1430.975407,16.858814,1.355394,0.617014,0.738380
15.146559,0.074752,-33.958586,0.039291,0.270105,0.080202,-0.177434,0.064042,0.163570,0.110318,1.482724,-0.212017,1275.722770,17.922976,576.258912,18.436998,1011.714989,17.235250,1.201748,0.514023,0.687725
15.099161,0.068991,-33.971863,0.036906,0.062163,0.075056,-0.252246,0.057308,0.158690,0.098815,1.605928,-0.203980,1483.240790,17.759338,609.618121,18.375898,1221.550335,17.030617,1.345282,0.616560,0.728722
15.054510,0.077634,-33.954324,0.039816,0.121944,0.079948,-0.157513,0.063043,0.006101,0.111272,0.054827,-0.226113,1449.315632,17.784460,657.364356,18.294027,1162.150588,17.084740,1.209288,0.509567,0.699720
15.079098,0.166254,-33.949804,0.085658,0.437527,0.203706,-0.173849,0.140319,0.257868,0.249183,1.034852,-0.195268,406.880115,19.163700,196.805487,19.603449,308.978631,18.523075,1.080374,0.439749,0.640625
15.087965,0.055114,-33.941098,0.029699,0.048520,0.059303,-0.076547,0.046468,-0.016384,0.078651,-0.208309,-0.224120,2195.299528,17.333632,928.481060,17.919109,1874.808550,16.565504,1.353605,0.585478,0.768127
15.073208,0.235117,-33.920399,0.122163,-0.431033,0.299389,0.329241,0.205203,0.206346,0.346376,0.595729,-0.212702,255.510197,19.668846,130.068271,20.053114,172.035434,19.158852,0.894262,0.384268,0.509995
15.071022,0.787332,-33.921762,0.422209,-0.241517,0.804161,1.165518,0.727155,-0.334605,1.260398,-0.265476,-0.125821,88.653792,20.818123,49.002059,21.113007,59.920412,20.303959,0.809048,0.294884,0.514164
15.121783,0.053077,-33.928957,0.027612,0.065577,0.058210,-0.240814,0.042727,-0.033664,0.074936,-0.449233,-0.225599,2384.081948,17.244064,911.156091,17.939560,2011.908325,16.488874,1.450686,0.695496,0.755190
15.136874,0.123085,-33.921595,0.066237,-0.089438,0.130700,-0.073246,0.104687,-0.199120,0.183274,-1.086462,-0.207613,586.889152,18.765976,269.087237,19.263809,443.619749,18.130369,1.133440,0.497833,0.635607
15.134431,0.620656,-33.918905,0.320173,-0.906027,0.636061,-2.012956,0.585421,-0.563541,0.968545,-0.581843,-0.155900,97.946250,20.709898,56.995552,20.948940,60.027167,20.302027,0.646914,0.239042,0.407871
15.088604,0.213402,-33.915763,0.111377,-0.173789,0.262195,-0.168790,0.183340,0.046908,0.316267,0.148318,-0.190697,281.372724,19.564161,129.268160,20.059813,209.849501,18.943125,1.116688,0.495651,0.621037
15.104990,0.145031,-33.895530,0.078067,0.168124,0.156855,-0.250400,0.127708,0.035570,0.212919,0.167057,-0.224779,494.306578,18.952375,220.965169,19.477734,363.680082,18.346096,1.131638,0.525358,0.606279
15.102621,0.354271,-33.892397,0.196256,-0.174739,0.360100,0.105985,0.327483,-0.275923,0.545351,-0.505955,-0.170402,138.274402,20.335512,69.848104,20.728155,107.944282,19.664896,1.063259,0.392643,0.670616
14.316859,0.166906,-34.010547,0.149121,-0.005507,0.187479,-0.114103,0.167016,0.104279,0.246304,0.423377,-0.117767,446.698634,19.062330,199.120888,19.590750,342.019330,18.412769,1.177980,0.528419,0.649561
14.297457,0.127615,-34.003146,0.110165,-0.225171,0.144260,-0.315456,0.127736,-0.072744,0.182919,-0.397686,-0.149541,669.969890,18.622229,301.733482,19.139484,494.688766,18.012066,1.127419,0.517256,0.610163
14.433993,0.082587,-34.020646,0.059204,0.094637,0.090478,-0.134907,0.073336,-0.114117,0.125568,-0.908807,-0.144795,1378.397400,17.838930,588.330312,18.414490,1074.794087,17.169582,1.244907,0.575560,0.669348
14.419600,0.169847,-33.985839,0.128314,0.335257,0.187458,0.056611,0.153088,0.206497,0.256493,0.805078,-0.123058,439.817119,19.079187,193.447349,19.622135,334.244873,18.437733,1.184402,0.542948,0.641455
14.464193,0.125866,-33.921915,0.096559,0.004228,0.131246,-0.279879,0.116172,0.011760,0.186549,0.063037,-0.129289,640.216423,18.671551,289.475089,19.184515,479.037328,18.046972,1.137543,0.512964,0.624578
14.383813,0.128770,-33.950345,0.105413,-0.031889,0.143979,-0.255456,0.124414,0.236623,0.179158,1.320752,-0.163200,683.070463,18.601204,270.282552,19.258997,469.764389,18.068195,1.190802,0.657793,0.533009
14.385085,0.822362,-33.952880,0.620742,-0.167184,0.990736,0.916178,0.766724,-0.316213,1.095435,-0.288665,-0.197324,155.621759,20.207191,275.466044,19.238373,588.191290,17.824099,1.414274,-0.968819,2.383093
14.874993,0.121710,-34.003054,0.068769,0.441550,0.130511,-0.243966,0.102852,-0.063085,0.172780,-0.365121,-0.197894,615.724881,18.713900,280.426886,19.218992,467.015775,18.074566,1.144426,0.505093,0.639334
14.871825,0.834352,-33.999252,0.411061,-0.438664,0.784488,1.140489,0.704920,-1.982889,1.446003,-1.371290,-0.065319,91.167622,20.787766,61.352649,20.868959,66.764854,20.186525,0.682434,0.081194,0.601240
14.843051,0.130092,-33.951409,0.079675,0.307373,0.140820,-0.252030,0.113562,0.327818,0.194571,1.684826,-0.169227,544.408346,18.847555,255.980203,19.318026,396.945633,18.251068,1.066957,0.470470,0.596487
14.755606,0.064611,-33.908738,0.039907,0.091869,0.071046,-0.077390,0.058074,-0.059121,0.094527,-0.625438,-0.190589,1648.924048,17.644365,691.552211,18.238979,1360.286949,16.913818,1.325161,0.594614,0.730547
14.742065,0.208253,-33.897884,0.129314,0.521286,0.269462,-0.091055,0.181333,-0.233937,0.304067,-0.769361,-0.095886,300.984986,19.491005,124.137797,20.103783,204.738399,18.969896,1.133886,0.612778,0.521109
14.771015,0.150164,-33.879304,0.092844,-0.156102,0.179156,-0.054593,0.131694,0.099892,0.222743,0.448463,-0.162419,473.786039,18.998411,211.856051,19.523439,362.374792,18.350000,1.173439,0.525028,0.648411
15.023528,0.086980,-33.959452,0.047433,0.001900,0.093619,-0.094328,0.075200,-0.022758,0.126970,-0.179241,-0.186697,1003.858061,18.183186,423.540076,18.771305,758.252001,17.548361,1.222944,0.588120,0.634825
14.961087,0.121548,-33.968656,0.066971,0.011979,0.127724,-0.106562,0.102399,-0.344228,0.180987,-1.901951,-0.171735,616.156703,18.713139,281.341941,19.215456,469.262076,18.069357,1.146099,0.502317,0.643782
14.943366,0.182331,-33.960095,0.099394,-0.146176,0.216090,-0.028281,0.150780,-0.180494,0.262843,-0.686699,-0.198201,340.545793,19.356928,179.016909,19.706306,227.794356,18.854038,0.852268,0.349379,0.502890
14.988902,0.277252,-33.939198,0.147681,0.018132,0.305760,-0.051701,0.233145,0.174348,0.396381,0.439850,-0.143128,205.735371,19.904095,104.212049,20.293747,145.918474,19.337620,0.956127,0.389652,0.566475
14.992054,0.118884,-33.939202,0.064734,0.258085,0.124850,-0.271933,0.101357,0.115973,0.179635,0.645603,-0.169218,629.891617,18.689201,293.400947,19.169888,485.216716,18.033056,1.136831,0.480686,0.656145
14.992350,0.371863,-33.940462,0.203528,-0.279726,0.408553,-0.250257,0.329123,-0.393127,0.604102,-0.650762,-0.151780,140.045813,20.321692,69.383633,20.735399,107.631895,19.668043,1.067356,0.413708,0.653648
14.931133,0.205699,-33.948811,0.104730,0.081170,0.230623,-0.001529,0.161650,-0.063113,0.297400,-0.212217,-0.230463,327.450135,19.399504,146.659748,19.922766,234.770555,18.821287,1.101479,0.523262,0.578217
14.949382,0.230464,-33.936835,0.122715,0.223885,0.291301,-0.129374,0.193479,0.506855,0.323368,1.567427,-0.221605,263.870879,19.633888,129.276648,20.059742,180.993936,19.103735,0.956007,0.425854,0.530153
14.954600,0.159546,-33.930079,0.084558,0.378308,0.212093,-0.194878,0.135756,-0.221202,0.223981,-0.987592,-0.216299,444.357450,19.068035,212.527840,19.520002,321.652331,18.479429,1.040573,0.451967,0.588606
14.950784,0.302312,-33.937169,0.171452,0.259978,0.338108,-0.083771,0.269418,-0.213639,0.454389,-0.470168,-0.199624,170.474667,20.108217,113.790359,20.198278,71.193279,20.116798,0.081480,0.090061,-0.008581
14.929883,0.036993,-33.946316,0.019453,0.069077,0.039629,-0.147121,0.028843,0.034900,0.049753,0.701460,-0.278792,4800.600689,16.484127,1730.312646,17.243231,4414.005931,15.635813,1.607418,0.759104,0.848314
14.935048,0.110602,-33.929008,0.062646,0.003088,0.121249,-0.191907,0.094482,0.064568,0.153742,0.419976,-0.233099,693.163019,18.585278,307.869342,19.117626,540.260714,17.916388,1.201239,0.532349,0.668890
14.934851,0.186032,-33.922035,0.100222,0.211662,0.243450,0.190229,0.156564,-0.128028,0.253767,-0.504510,-0.173708,354.716691,19.312662,161.865929,19.815653,264.579570,18.691505,1.124147,0.502991,0.621157
14.966338,0.223589,-33.913439,0.118419,0.004237,0.265550,-0.025761,0.180163,-0.094625,0.325857,-0.290388,-0.162626,282.733817,19.558922,133.470027,20.025084,220.416719,18.889784,1.135300,0.466162,0.669138
14.949456,0.165417,-33.908305,0.087440,0.051999,0.203932,-0.058322,0.134675,0.194779,0.229322,0.849369,-0.202367,410.964772,19.152855,189.831074,19.642624,282.938893,18.618664,1.023960,0.489769,0.534191
14.961835,0.211940,-33.901461,0.114474,0.496705,0.267150,-0.498874,0.179359,0.205215,0.298651,0.687139,-0.199019,282.517993,19.559752,129.284987,20.059671,207.963419,18.952929,1.106743,0.499920,0.606823
