ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,parallax_over_error,ra_dec_corr,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,bp_g,g_rp
152.960274,0.070304,-2.292239,0.056005,-0.847378,0.085945,-2.130083,0.074005,0.135811,0.078970,1.719770,-0.197950,3125.515021,16.950064,1666.221749,17.284210,2103.993816,16.440285,0.843925,0.334146,0.509779
152.956948,0.174311,-2.295193,0.143030,-0.110206,0.203188,-0.113498,0.173372,0.018669,0.199255,0.093695,-0.301511,876.441211,18.330561,397.583217,18.839972,678.286515,17.669363,1.170609,0.509411,0.661198
152.901731,0.276484,-2.272243,0.258141,0.503278,0.419856,-0.242552,0.442047,0.510994,0.315215,1.621096,-0.219018,460.502282,19.029287,202.812778,19.570805,335.495654,18.433678,1.137127,0.541517,0.595610
153.023893,0.312740,-2.255453,0.277506,-0.148428,0.384817,-1.834109,0.343264,-0.101533,0.358916,-0.282889,-0.287049,344.007174,19.345947,178.621501,19.708708,219.291183,18.895342,0.813366,0.362761,0.450605
153.068410,0.666671,-2.212077,0.478058,-0.761943,0.696046,0.584518,0.579828,-0.922755,0.781429,-1.180856,-0.172201,155.739240,20.206371,80.148670,20.578802,122.329829,19.529064,1.049738,0.372431,0.677307
152.933262,0.140272,-2.131046,0.120591,-0.374355,0.166362,0.053654,0.149445,0.022421,0.155299,0.144372,-0.217759,970.743415,18.219606,421.134645,18.777491,775.910234,17.523367,1.254124,0.557884,0.696239
152.943907,0.110835,-2.130377,0.094615,-0.490306,0.124379,0.095102,0.118256,-0.081159,0.123273,-0.658374,-0.194680,1329.252010,17.878349,577.675394,18.434332,1084.678751,17.159643,1.274689,0.555983,0.718706
152.862284,0.078947,-2.094958,0.073358,-0.335357,0.098702,0.040562,0.103115,0.186394,0.096449,1.932563,-0.283454,2150.949326,17.355791,874.036974,17.984718,1784.221543,16.619274,1.365444,0.628927,0.736517
153.400072,0.746600,-2.007443,1.209248,-0.452139,0.930135,0.272115,1.400750,-0.120985,0.741531,-0.163156,-0.657417,149.230859,20.252720,92.437596,20.423920,77.150984,20.029541,0.394379,0.171200,0.223179
153.152013,0.676910,-2.190909,0.749855,-0.154302,0.892210,0.586262,0.997651,0.610874,0.825913,0.739635,-0.427857,142.114210,20.305773,72.667424,20.685192,78.914239,20.005007,0.680185,0.379419,0.300766
153.156968,0.113512,-2.191787,0.102799,-0.185480,0.141684,-0.149295,0.139948,-0.101440,0.143041,-0.709167,-0.277716,1499.583028,17.747440,653.612993,18.300241,1226.058892,17.026617,1.273624,0.552801,0.720823
153.151058,0.915527,-2.190830,0.568904,0.554039,1.008088,-1.888115,0.834955,2.662695,1.016354,2.619848,0.052690,134.688045,20.364044,52.664264,21.034752,103.228908,19.713392,1.321360,0.670708,0.650652
153.057291,0.171577,-2.013727,0.169229,-0.521640,0.197540,-0.255321,0.205706,0.256646,0.210796,1.217505,-0.366922,670.550095,18.621288,279.668345,19.221933,509.331844,17.980394,1.241539,0.600645,0.640894
153.118973,0.158748,-1.969875,0.148710,-0.394332,0.165003,-0.080027,0.180889,-0.123274,0.212012,-0.581450,-0.296232,877.781686,18.328901,369.034656,18.920874,720.636730,17.603605,1.317268,0.591972,0.725296
153.113661,0.311779,-1.970395,0.285522,-0.832916,0.318855,-0.351442,0.354079,0.042934,0.412010,0.104207,-0.253565,323.811970,19.411634,144.575699,19.938305,248.514910,18.759514,1.178791,0.526670,0.652121
153.387688,0.191431,-1.998086,0.294719,-0.367177,0.211361,0.030041,0.296501,-0.206976,0.175531,-1.179143,-0.705863,939.521279,18.255100,423.891602,18.770405,693.974942,17.644537,1.125868,0.515305,0.610563
153.439503,0.104443,-1.937908,0.123836,-0.529909,0.128784,-0.038732,0.140215,0.141009,0.114054,1.236340,-0.410038,1613.482157,17.667957,683.688955,18.251396,1293.069030,16.968842,1.282555,0.583439,0.699116
153.437820,0.276520,-1.936283,0.347432,-0.483619,0.335273,0.109028,0.379236,0.265264,0.285262,0.929896,-0.500022,453.986003,19.044762,203.462367,19.567331,341.303158,18.415045,1.152287,0.522570,0.629717
153.387181,0.104151,-1.925841,0.126307,-0.518728,0.125162,0.144547,0.137418,0.141442,0.110379,1.281426,-0.423031,1744.947635,17.582911,699.773939,18.226149,1493.491232,16.812389,1.413759,0.643238,0.770521
153.381970,0.284544,-1.906319,0.366658,-0.354841,0.332638,-0.309961,0.402448,0.135172,0.296861,0.455340,-0.439895,401.634339,19.177790,189.552897,19.644217,306.625560,18.531374,1.112843,0.466427,0.646416
153.349861,0.367251,-1.914842,0.559449,-0.137969,0.402290,-0.115859,0.566139,0.123008,0.330263,0.372455,-0.682062,356.689967,19.306639,155.053662,19.862337,257.377582,18.721468,1.140869,0.555698,0.585171
153.327255,0.228336,-1.903186,0.354609,-0.235523,0.248893,-0.176030,0.360663,-0.058443,0.205071,-0.284991,-0.695047,710.131767,18.559019,308.718836,19.114634,544.404568,17.908091,1.206543,0.555614,0.650928
153.238867,0.210798,-1.886349,0.314129,-0.736670,0.221446,0.602632,0.304825,0.221190,0.218007,1.014601,-0.663143,824.294361,18.397161,355.792393,18.960550,662.289850,17.695274,1.265276,0.563389,0.701887
153.224737,0.496141,-1.887574,0.559596,-0.154229,0.600313,-0.560703,0.755613,1.030854,0.535321,1.925676,-0.490149,211.290642,19.875166,109.420609,20.240795,136.640177,19.408949,0.831846,0.365629,0.466217
153.215895,0.263303,-1.865130,0.298491,0.329418,0.278006,-1.696649,0.349203,0.760686,0.269080,2.826994,-0.493487,498.935102,18.942257,138.930781,19.981546,481.532207,18.041332,1.940214,1.039289,0.900925
153.231427,0.669154,-1.868019,0.981748,0.557733,0.657040,-0.830916,0.884362,-0.152456,0.733884,-0.207738,-0.652726,190.817566,19.985821,101.227455,20.325296,110.529852,19.639196,0.686100,0.339476,0.346624
153.721048,0.117083,-1.994699,0.109196,-0.329081,0.147414,0.099036,0.144082,-0.124627,0.130395,-0.955769,-0.255759,1423.228118,17.804180,617.374224,18.362171,1129.971977,17.115227,1.246944,0.557991,0.688953
153.516064,0.300781,-1.960351,0.382593,-0.599667,0.375348,0.023314,0.432453,-0.268426,0.321123,-0.835898,-0.444111,341.464100,19.354004,158.510020,19.838400,227.494744,18.855467,0.982933,0.484396,0.498537
153.513768,0.395771,-1.948007,0.496919,0.070881,0.492444,-0.487031,0.565696,-0.645920,0.405883,-1.591397,-0.468155,257.935803,19.658588,128.888258,20.063009,171.282841,19.163610,0.899399,0.404421,0.494978
153.442952,0.300563,-1.926691,0.372371,-0.690118,0.377484,-0.261560,0.423592,0.222538,0.315675,0.704958,-0.430954,354.764356,19.312517,171.018577,19.755934,257.421514,18.721283,1.034651,0.443417,0.591234
153.545269,0.542383,-1.760248,0.764952,0.242558,0.740730,-0.537747,1.063717,-0.488769,0.672886,-0.726377,-0.341639,185.139441,20.018620,107.934364,20.255642,94.742948,19.806528,0.449114,0.237022,0.212091
153.542811,0.366294,-1.752631,0.369825,-0.654059,0.461266,0.504070,0.440688,-0.168842,0.405577,-0.416301,-0.230090,279.227647,19.572472,137.161929,19.995459,208.839763,18.948362,1.047096,0.422987,0.624109
153.317691,0.189638,-1.772041,0.248119,-0.591717,0.220692,0.284678,0.266490,0.217522,0.226470,0.960489,-0.450173,674.710301,18.614574,313.933332,19.096449,523.357107,17.950901,1.145548,0.481874,0.663673
153.461720,0.080522,-1.753399,0.094549,-0.696920,0.090313,0.214108,0.099658,-0.114037,0.087586,-1.301994,-0.447003,2693.940360,17.111397,1023.244061,17.813595,2371.145943,16.310499,1.503096,0.702198,0.800898
153.426526,0.323584,-1.746521,0.429084,0.182976,0.394631,-0.995599,0.478130,0.073179,0.390724,0.187291,-0.441419,310.769738,19.456270,130.323905,20.050982,235.229907,18.819164,1.231817,0.594711,0.637106
153.431502,0.406096,-1.743426,0.492264,0.115888,0.465548,-0.473936,0.564977,0.627038,0.415508,1.509086,-0.420878,250.716290,19.689411,93.234593,20.414600,187.246121,19.066864,1.347736,0.725189,0.622547
153.431502,0.406096,-1.743426,0.492264,0.115888,0.465548,-0.473936,0.564977,0.627038,0.415508,1.509086,-0.420878,250.716290,19.689411,93.234593,20.414600,187.246121,19.066864,1.347736,0.725189,0.622547
