ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,parallax_over_error,ra_dec_corr,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,bp_g,g_rp
226.603641,0.057384,67.265944,0.060042,-0.200763,0.070896,0.126529,0.085197,-0.016218,0.064138,-0.252856,0.045396,2104.724223,17.379379,940.795641,17.904804,1632.126535,16.716011,1.188793,0.525425,0.663368
226.489478,0.051871,67.277152,0.056297,-0.169378,0.064006,0.006321,0.071708,0.045955,0.058031,0.791907,-0.000702,2379.953117,17.245945,1020.520627,17.816488,1947.140947,16.524403,1.292086,0.570543,0.721542
226.497395,0.072617,67.300656,0.083324,-0.151916,0.090986,0.129092,0.109802,0.134214,0.083993,1.597909,-0.072375,1334.888769,17.873755,582.873927,18.424606,1041.371815,17.203880,1.220726,0.550852,0.669874
226.621011,0.172403,67.319419,0.172070,-0.282981,0.205982,-0.044494,0.255911,0.307151,0.182956,1.678826,0.045360,424.939728,19.116549,189.410269,19.645033,328.964247,18.455023,1.190010,0.528484,0.661526
226.560267,0.204072,67.363104,0.204405,0.038344,0.258393,0.770308,0.271120,0.382712,0.224479,1.704886,-0.085529,305.797034,19.473783,169.203956,19.767515,197.694238,19.007910,0.759605,0.293732,0.465874
226.622251,0.254156,67.380243,0.255739,-0.007826,0.351857,0.501562,0.394073,-0.248121,0.264254,-0.938950,-0.012211,237.364484,19.748827,109.045531,20.244522,164.734650,19.205933,1.038589,0.495695,0.542894
226.473603,0.095831,67.375357,0.102518,-0.277558,0.123741,0.090237,0.154984,-0.044879,0.104293,-0.430314,-0.033123,946.578966,18.246975,435.432283,18.741241,726.254920,17.595173,1.146069,0.494267,0.651802
226.330844,0.203748,67.311497,0.215683,0.077369,0.266062,-0.129845,0.285427,0.143261,0.221055,0.648079,0.023705,322.412004,19.416338,153.952898,19.870073,235.424076,18.818268,1.051805,0.453735,0.598070
226.447051,0.291046,67.390762,0.350844,-0.199055,0.375662,-0.395043,0.511056,0.245815,0.356293,0.689923,0.019266,235.846478,19.755793,119.321477,20.146746,158.284390,19.249300,0.897446,0.390953,0.506493
226.594837,0.215605,67.766575,0.192973,-0.502667,0.282904,-0.049867,0.264274,-0.076801,0.206429,-0.372045,-0.004006,395.971630,19.193207,183.933683,19.676889,287.630575,18.600807,1.076082,0.483683,0.592400
227.326351,0.078345,66.442343,0.076389,-0.096779,0.092304,-0.012042,0.097398,0.059312,0.080173,0.739792,0.034334,1290.380022,17.910572,577.537053,18.434593,1010.500222,17.236555,1.198038,0.524021,0.674017
227.404460,0.106677,66.637191,0.096928,-0.095294,0.132900,-0.083986,0.121178,-0.153982,0.104769,-1.469717,-0.010879,955.715465,18.236546,449.051848,18.707802,731.991301,17.586630,1.121172,0.471256,0.649916
226.232268,0.110652,66.477661,0.111497,-0.004939,0.139202,-0.149555,0.174569,-0.049185,0.118468,-0.415172,-0.101442,755.124548,18.492321,356.425537,18.958620,581.685966,17.836174,1.122446,0.466299,0.656147
226.326080,0.246257,66.667413,0.227080,-0.242362,0.297905,-0.046191,0.311007,0.212545,0.252115,0.843049,-0.145307,302.260262,19.486414,158.008873,19.841839,222.371490,18.880198,0.961641,0.355425,0.606216
227.029074,0.117228,66.776956,0.108225,0.103427,0.169590,-0.163050,0.147256,0.285446,0.116451,2.451220,-0.035875,767.864983,18.474155,361.637643,18.942858,580.011824,17.839304,1.103554,0.468702,0.634851
226.626824,0.116657,66.892202,0.115932,-0.068571,0.159219,0.242610,0.150631,0.235866,0.118371,1.992601,-0.067240,719.298630,18.545094,316.173429,19.088728,551.711226,17.893616,1.195112,0.543634,0.651478
226.802406,0.208093,66.860357,0.197903,0.157674,0.289606,-0.377493,0.264533,0.014627,0.206187,0.070942,-0.142119,307.241562,19.468666,143.353111,19.947525,222.782454,18.878193,1.069332,0.478859,0.590473
226.747875,0.248463,66.852956,0.229410,-0.376671,0.355374,-0.133293,0.332481,0.229722,0.248479,0.924514,-0.121976,253.490464,19.677464,123.412057,20.110147,172.097954,19.158457,0.951691,0.432684,0.519007
226.928081,0.091178,66.903126,0.085528,-0.109104,0.129794,0.118049,0.116788,-0.036710,0.092117,-0.398513,-0.103499,947.906019,18.245453,442.442804,18.723900,708.950676,17.621355,1.102545,0.478447,0.624098
226.911660,0.162695,66.935194,0.164616,0.012747,0.227703,0.117757,0.213554,0.029939,0.168077,0.178125,-0.082837,455.824099,19.040373,186.802728,19.660084,339.399463,18.421118,1.238966,0.619711,0.619255
226.809666,0.135247,66.946747,0.131600,0.241147,0.186251,0.343934,0.181282,-0.238947,0.138107,-1.730154,-0.034613,589.678728,18.760828,273.516465,19.246084,423.265901,18.181362,1.064722,0.485256,0.579466
226.815764,0.131484,66.951944,0.127708,-0.083518,0.180192,-0.021111,0.174343,0.044154,0.133666,0.330333,-0.061480,589.625304,18.760927,277.658565,19.229765,441.434821,18.135729,1.094036,0.468838,0.625198
226.566672,0.071312,66.902042,0.072263,-0.184478,0.094934,0.094080,0.095128,0.027852,0.075994,0.366498,-0.079599,1488.636769,17.755396,658.254898,18.292557,1164.812699,17.082254,1.210302,0.537161,0.673141
